,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10
0,2023-08-02 15:59:15.932362,"(2.8500001430511475, 42.0, 57.354000091552734)","(19.5, 69.30000305175781, 80.8280029296875)","(9.0, 39.150001525878906, 63.645999908447266)","(26.55000114440918, 51.45000076293945, 72.35800170898438)","(14.100000381469727, 46.05000305175781, 80.8280029296875)","(27.900001525878906, 38.55000305175781, 84.21599578857422)","(-40.35000228881836, -44.400001525878906, -0.7260000109672546)","(0.9000000357627869, 9.75, 57.354000091552734)","(-52.95000076293945, 9.0, 24.441999435424805)","(-43.95000076293945, 81.30000305175781, 11.131999969482422)"
1,2023-08-02 15:59:15.991396,"(3.9000000953674316, 43.05000305175781, 55.417999267578125)","(19.350000381469727, 71.10000610351562, 79.3759994506836)","(9.0, 39.150001525878906, 60.742000579833984)","(26.850000381469727, 52.20000076293945, 71.38999938964844)","(13.200000762939453, 48.0, 79.13400268554688)","(29.850000381469727, 41.400001525878906, 81.55400085449219)","(-39.900001525878906, -43.650001525878906, -1.9359999895095825)","(1.2000000476837158, 10.950000762939453, 53.965999603271484)","(-53.85000228881836, 9.600000381469727, 22.989999771118164)","(-43.95000076293945, 82.80000305175781, 8.227999687194824)"
2,2023-08-02 15:59:16.051837,"(3.9000000953674316, 45.150001525878906, 52.27199935913086)","(20.25, 72.30000305175781, 77.68199920654297)","(9.0, 41.25, 58.321998596191406)","(26.400001525878906, 54.750003814697266, 68.72799682617188)","(13.800000190734863, 48.900001525878906, 77.68199920654297)","(28.650001525878906, 41.25, 78.6500015258789)","(-39.900001525878906, -41.25, -3.388000011444092)","(0.30000001192092896, 13.200000762939453, 51.0620002746582)","(-53.85000228881836, 11.850000381469727, 19.118000030517578)","(-44.25, 87.0, 3.388000011444092)"
3,2023-08-02 15:59:16.112268,"(4.050000190734863, 49.650001525878906, 45.49599838256836)","(19.350000381469727, 74.4000015258789, 73.56800079345703)","(9.300000190734863, 45.75, 53.23999786376953)","(26.100000381469727, 58.05000305175781, 65.0979995727539)","(13.800000190734863, 51.750003814697266, 71.14800262451172)","(28.950000762939453, 46.5, 74.77799987792969)","(-40.5, -36.45000076293945, -6.776000022888184)","(1.0500000715255737, 17.850000381469727, 45.97999954223633)","(-54.60000228881836, 18.900001525878906, 12.100000381469727)","(-44.400001525878906, 93.9000015258789, -7.986000061035156)"
4,2023-08-02 15:59:16.171824,"(4.200000286102295, 58.05000305175781, 34.847999572753906)","(19.05000114440918, 80.10000610351562, 67.03399658203125)","(9.0, 52.20000076293945, 45.49599838256836)","(24.750001907348633, 63.150001525878906, 58.56399917602539)","(12.600000381469727, 59.70000076293945, 64.61399841308594)","(27.600000381469727, 52.05000305175781, 67.2760009765625)","(-42.75, -25.80000114440918, -11.857999801635742)","(0.30000001192092896, 27.750001907348633, 33.395999908447266)","(-59.10000228881836, 29.850000381469727, -0.24199999868869781)","(-46.05000305175781, 110.55000305175781, -26.619998931884766)"
5,2023-08-02 15:59:16.231835,"(2.8500001430511475, 71.4000015258789, 23.4739990234375)","(17.850000381469727, 91.05000305175781, 57.354000091552734)","(9.0, 64.95000457763672, 33.395999908447266)","(22.650001525878906, 73.80000305175781, 49.125999450683594)","(10.5, 71.4000015258789, 52.513999938964844)","(26.100000381469727, 65.25, 51.78799819946289)","(-48.30000305175781, -10.5, -18.634000778198242)","(-4.200000286102295, 48.45000076293945, 16.45599937438965)","(-66.1500015258789, 47.400001525878906, -15.003999710083008)","(-52.500003814697266, 141.3000030517578, -50.81999969482422)"
6,2023-08-02 15:59:16.344925,"(2.8500001430511475, 76.5, 17.18199920654297)","(17.400001525878906, 97.50000762939453, 50.577999114990234)","(9.450000762939453, 73.20000457763672, 23.95800018310547)","(20.25, 80.10000610351562, 42.83399963378906)","(9.15000057220459, 79.05000305175781, 42.83399963378906)","(27.000001907348633, 78.60000610351562, 36.54199981689453)","(-51.150001525878906, -3.750000238418579, -21.780000686645508)","(-6.600000381469727, 60.150001525878906, 1.9359999895095825)","(-72.0, 54.900001525878906, -22.02199935913086)","(-54.900001525878906, 153.75, -64.12999725341797)"
7,2023-08-02 15:59:16.382296,"(3.9000000953674316, 78.75, 17.666000366210938)","(16.650001525878906, 98.25000762939453, 49.61000061035156)","(9.600000381469727, 74.85000610351562, 23.4739990234375)","(20.25, 80.55000305175781, 43.31800079345703)","(9.90000057220459, 81.0, 43.31800079345703)","(25.650001525878906, 82.35000610351562, 36.54199981689453)","(-50.70000076293945, -2.5500001907348633, -21.29599952697754)","(-6.300000190734863, 63.750003814697266, 2.4200000762939453)","(-72.60000610351562, 56.85000228881836, -22.506000518798828)","(-56.10000228881836, 157.20001220703125, -61.46799850463867)"
8,2023-08-02 15:59:16.441998,"(1.6500000953674316, 79.80000305175781, 17.90799903869629)","(16.80000114440918, 98.70000457763672, 51.54600143432617)","(9.15000057220459, 77.4000015258789, 24.68400001525879)","(18.900001525878906, 81.30000305175781, 44.04399871826172)","(8.850000381469727, 82.5, 44.77000045776367)","(25.05000114440918, 83.4000015258789, 34.36399841308594)","(-53.250003814697266, -0.75, -21.538000106811523)","(-8.40000057220459, 66.0, 2.9040000438690186)","(-75.0, 57.750003814697266, -19.360000610351562)","(-58.95000076293945, 160.8000030517578, -60.98400115966797)"
9,2023-08-02 15:59:16.501916,"(3.3000001907348633, 80.4000015258789, 17.18199920654297)","(16.80000114440918, 99.60000610351562, 49.85200119018555)","(9.300000190734863, 77.10000610351562, 23.715999603271484)","(19.05000114440918, 82.6500015258789, 42.59199905395508)","(8.700000762939453, 83.10000610351562, 41.86600112915039)","(26.700000762939453, 82.5, 33.880001068115234)","(-52.650001525878906, 0.45000001788139343, -22.263999938964844)","(-7.800000190734863, 65.85000610351562, 0.24199999868869781)","(-74.10000610351562, 58.80000305175781, -22.506000518798828)","(-57.60000228881836, 161.10000610351562, -64.37200164794922)"
10,2023-08-02 15:59:16.562407,"(3.450000047683716, 79.80000305175781, 16.45599937438965)","(17.700000762939453, 100.6500015258789, 49.61000061035156)","(9.450000762939453, 77.25, 22.02199935913086)","(20.100000381469727, 82.80000305175781, 41.13999938964844)","(9.600000381469727, 82.6500015258789, 43.560001373291016)","(28.650001525878906, 85.35000610351562, 33.15399932861328)","(-51.750003814697266, -0.15000000596046448, -21.538000106811523)","(-6.150000095367432, 66.45000457763672, -0.48399999737739563)","(-74.10000610351562, 58.80000305175781, -22.506000518798828)","(-56.55000305175781, 162.75, -63.40399932861328)"
11,2023-08-02 15:59:16.621757,"(3.1500000953674316, 80.25, 17.666000366210938)","(16.5, 100.05000305175781, 50.81999969482422)","(9.600000381469727, 77.25, 24.68400001525879)","(19.05000114440918, 82.80000305175781, 41.38199996948242)","(9.300000190734863, 82.95000457763672, 42.349998474121094)","(28.950000762939453, 86.4000015258789, 33.395999908447266)","(-52.05000305175781, -0.45000001788139343, -21.29599952697754)","(-7.350000381469727, 67.05000305175781, 1.694000005722046)","(-73.5, 58.500003814697266, -21.29599952697754)","(-56.70000076293945, 161.40000915527344, -61.95199966430664)"
12,2023-08-02 15:59:16.681563,"(3.1500000953674316, 80.4000015258789, 18.392000198364258)","(16.200000762939453, 99.9000015258789, 51.78799819946289)","(9.0, 76.95000457763672, 26.13599967956543)","(18.75, 81.75, 44.2859992980957)","(8.100000381469727, 83.55000305175781, 45.012001037597656)","(26.700000762939453, 83.85000610351562, 36.784000396728516)","(-52.35000228881836, 0.0, -20.086000442504883)","(-7.800000190734863, 66.9000015258789, 4.113999843597412)","(-74.70000457763672, 58.80000305175781, -18.392000198364258)","(-58.05000305175781, 161.40000915527344, -56.38600158691406)"
13,2023-08-02 15:59:16.742109,"(0.9000000357627869, 80.85000610351562, 25.652000427246094)","(14.550000190734863, 99.45000457763672, 54.69200134277344)","(8.550000190734863, 76.6500015258789, 29.03999900817871)","(17.400001525878906, 83.25, 47.91600036621094)","(7.200000286102295, 83.4000015258789, 50.33599853515625)","(25.650001525878906, 82.80000305175781, 38.961997985839844)","(-54.150001525878906, -0.75, -17.18199920654297)","(-9.90000057220459, 65.55000305175781, 11.37399959564209)","(-76.20000457763672, 57.750003814697266, -11.131999969482422)","(-61.35000228881836, 160.5, -44.2859992980957)"
14,2023-08-02 15:59:16.802297,"(-0.9000000357627869, 73.6500015258789, 33.880001068115234)","(13.65000057220459, 96.1500015258789, 60.257999420166016)","(7.200000286102295, 73.5, 38.720001220703125)","(18.150001525878906, 78.1500015258789, 53.7239990234375)","(6.150000095367432, 77.70000457763672, 56.869998931884766)","(22.650001525878906, 77.10000610351562, 47.67399978637695)","(-54.45000076293945, -10.5, -12.100000381469727)","(-12.15000057220459, 57.900001525878906, 22.989999771118164)","(-75.1500015258789, 46.95000076293945, 0.24199999868869781)","(-63.30000305175781, 142.20001220703125, -26.619998931884766)"
15,2023-08-02 15:59:16.862158,"(-2.5500001907348633, 61.500003814697266, 44.52799987792969)","(14.100000381469727, 86.55000305175781, 68.24400329589844)","(6.750000476837158, 60.150001525878906, 47.43199920654297)","(19.5, 68.70000457763672, 60.5)","(5.850000381469727, 65.55000305175781, 66.30799865722656)","(22.200000762939453, 64.5, 60.98400115966797)","(-51.750003814697266, -24.600000381469727, -6.776000022888184)","(-11.100000381469727, 38.55000305175781, 36.29999923706055)","(-68.85000610351562, 30.450000762939453, 12.583999633789062)","(-59.250003814697266, 114.9000015258789, -6.533999919891357)"
16,2023-08-02 15:59:16.922052,"(-1.2000000476837158, 51.30000305175781, 51.78799819946289)","(14.700000762939453, 78.9000015258789, 75.98799896240234)","(6.450000286102295, 49.500003814697266, 55.17599868774414)","(21.30000114440918, 59.70000076293945, 67.03399658203125)","(7.500000476837158, 55.500003814697266, 74.29399871826172)","(22.350000381469727, 51.30000305175781, 73.80999755859375)","(-48.0, -36.60000228881836, -2.9040000438690186)","(-7.350000381469727, 23.100000381469727, 47.189998626708984)","(-62.70000076293945, 17.850000381469727, 20.086000442504883)","(-55.20000076293945, 94.35000610351562, 4.355999946594238)"
17,2023-08-02 15:59:17.009743,"(-0.30000001192092896, 44.400001525878906, 54.69200134277344)","(16.350000381469727, 73.05000305175781, 78.6500015258789)","(6.900000095367432, 41.25, 60.01599884033203)","(24.0, 55.05000305175781, 69.21199798583984)","(9.75, 49.500003814697266, 77.92399597167969)","(23.25, 42.150001525878906, 80.34400177001953)","(-43.95000076293945, -42.75, -1.4520000219345093)","(-3.450000047683716, 13.65000057220459, 53.7239990234375)","(-57.750003814697266, 11.40000057220459, 24.441999435424805)","(-50.70000076293945, 84.60000610351562, 9.92199993133545)"
18,2023-08-02 15:59:17.072406,"(1.6500000953674316, 41.85000228881836, 57.59600067138672)","(17.25, 70.35000610351562, 80.10199737548828)","(7.650000095367432, 39.45000076293945, 62.678001403808594)","(24.900001525878906, 51.750003814697266, 71.14800262451172)","(11.40000057220459, 46.5, 80.10199737548828)","(26.55000114440918, 40.80000305175781, 79.3759994506836)","(-42.0, -44.70000076293945, -0.24199999868869781)","(-1.350000023841858, 10.350000381469727, 57.354000091552734)","(-55.95000076293945, 7.350000381469727, 27.104000091552734)","(-47.25, 80.55000305175781, 12.100000381469727)"
19,2023-08-02 15:59:17.132210,"(2.8500001430511475, 40.650001525878906, 58.56399917602539)","(18.0, 69.30000305175781, 81.31199645996094)","(8.25, 38.25, 62.678001403808594)","(25.80000114440918, 51.150001525878906, 73.56800079345703)","(12.450000762939453, 45.30000305175781, 79.3759994506836)","(28.200000762939453, 37.05000305175781, 83.9739990234375)","(-41.10000228881836, -46.650001525878906, 0.24199999868869781)","(-0.30000001192092896, 7.800000190734863, 56.62799835205078)","(-54.000003814697266, 7.200000286102295, 27.34600067138672)","(-45.60000228881836, 79.20000457763672, 11.857999801635742)"
20,2023-08-02 15:59:17.191835,"(2.8500001430511475, 40.20000076293945, 59.04800033569336)","(19.05000114440918, 68.4000015258789, 81.7959976196289)","(8.700000762939453, 36.60000228881836, 63.1619987487793)","(26.100000381469727, 50.70000076293945, 73.80999755859375)","(13.350000381469727, 45.0, 81.06999969482422)","(28.650001525878906, 36.150001525878906, 84.45800018310547)","(-40.20000076293945, -47.400001525878906, 0.48399999737739563)","(-0.15000000596046448, 7.500000476837158, 58.07999801635742)","(-53.10000228881836, 6.450000286102295, 27.829999923706055)","(-44.70000076293945, 77.85000610351562, 14.277999877929688)"
21,2023-08-02 15:59:17.251887,"(2.4000000953674316, 40.20000076293945, 59.53200149536133)","(18.75, 69.60000610351562, 83.48999786376953)","(8.850000381469727, 37.35000228881836, 64.85600280761719)","(26.850000381469727, 50.70000076293945, 72.5999984741211)","(13.050000190734863, 44.400001525878906, 81.06999969482422)","(28.200000762939453, 38.400001525878906, 83.73200225830078)","(-40.80000305175781, -47.25, 0.48399999737739563)","(1.2000000476837158, 7.350000381469727, 59.53200149536133)","(-52.500003814697266, 6.600000381469727, 27.58799934387207)","(-44.10000228881836, 77.85000610351562, 14.03600025177002)"
22,2023-08-02 15:59:17.342383,"(3.6000001430511475, 40.5, 59.53200149536133)","(19.200000762939453, 69.45000457763672, 83.00599670410156)","(9.0, 36.900001525878906, 65.33999633789062)","(26.700000762939453, 51.60000228881836, 73.80999755859375)","(13.800000190734863, 44.10000228881836, 81.7959976196289)","(28.05000114440918, 37.95000076293945, 84.69999694824219)","(-39.60000228881836, -47.25, 0.24199999868869781)","(0.6000000238418579, 8.25, 58.805999755859375)","(-52.95000076293945, 6.150000095367432, 27.829999923706055)","(-44.55000305175781, 78.30000305175781, 14.519999504089355)"
