,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10
0,2023-08-02 15:57:01.352430,"(-1.8000000715255737, 48.900001525878906, 54.20800018310547)","(15.600000381469727, 75.1500015258789, 77.92399597167969)","(7.350000381469727, 44.70000076293945, 60.5)","(22.950000762939453, 56.250003814697266, 70.18000030517578)","(8.850000381469727, 50.400001525878906, 79.3759994506836)","(22.200000762939453, 46.20000076293945, 83.73200225830078)","(-44.85000228881836, -38.70000076293945, -1.694000005722046)","(-6.300000190734863, 16.5, 53.7239990234375)","(-59.10000228881836, 15.450000762939453, 23.23200035095215)","(-51.900001525878906, 89.85000610351562, 8.470000267028809)"
1,2023-08-02 15:57:01.412270,"(-4.650000095367432, 54.150001525878906, 49.61000061035156)","(13.65000057220459, 78.30000305175781, 75.98799896240234)","(5.400000095367432, 48.60000228881836, 57.59600067138672)","(20.700000762939453, 59.10000228881836, 67.51799774169922)","(5.700000286102295, 54.60000228881836, 75.50399780273438)","(18.30000114440918, 48.150001525878906, 82.76399993896484)","(-49.20000076293945, -34.35000228881836, -3.629999876022339)","(-9.90000057220459, 21.150001525878906, 50.81999969482422)","(-63.60000228881836, 19.650001525878906, 20.327999114990234)","(-58.500003814697266, 97.35000610351562, 5.808000087738037)"
2,2023-08-02 15:57:01.472110,"(-13.800000190734863, 66.30000305175781, 41.624000549316406)","(6.750000476837158, 84.30000305175781, 71.8740005493164)","(1.2000000476837158, 58.35000228881836, 51.78799819946289)","(13.950000762939453, 66.0, 63.88800048828125)","(-2.700000047683716, 62.250003814697266, 71.63199615478516)","(6.300000190734863, 56.55000305175781, 73.08399963378906)","(-60.000003814697266, -25.350000381469727, -6.776000022888184)","(-21.75, 32.400001525878906, 45.25400161743164)","(-74.10000610351562, 28.05000114440918, 13.309999465942383)","(-76.5, 111.30000305175781, -3.388000011444092)"
3,2023-08-02 15:57:01.532834,"(-29.700000762939453, 83.4000015258789, 32.428001403808594)","(-5.100000381469727, 96.1500015258789, 64.37200164794922)","(-7.350000381469727, 74.10000610351562, 43.560001373291016)","(2.25, 74.4000015258789, 58.56399917602539)","(-17.55000114440918, 74.25, 64.85600280761719)","(-12.90000057220459, 72.0, 66.06600189208984)","(-78.30000305175781, -12.600000381469727, -10.64799976348877)","(-47.10000228881836, 49.95000076293945, 37.268001556396484)","(-94.80000305175781, 38.70000076293945, 6.291999816894531)","(-113.85000610351562, 132.75, -9.196000099182129)"
4,2023-08-02 15:57:01.592212,"(-56.55000305175781, 108.30000305175781, 29.03999900817871)","(-25.200000762939453, 110.4000015258789, 60.01599884033203)","(-21.0, 96.0, 37.75199890136719)","(-16.650001525878906, 85.20000457763672, 53.7239990234375)","(-42.45000076293945, 90.9000015258789, 59.53200149536133)","(-47.400001525878906, 96.0, 56.14400100708008)","(-108.9000015258789, 2.5500001907348633, -10.890000343322754)","(-89.25, 71.85000610351562, 34.36399841308594)","(-125.85000610351562, 52.20000076293945, 6.533999919891357)","(-178.65000915527344, 160.0500030517578, 2.9040000438690186)"
5,2023-08-02 15:57:01.652774,"(-114.45000457763672, 142.65000915527344, 28.79800033569336)","(-66.0, 131.40000915527344, 60.5)","(-51.750003814697266, 130.8000030517578, 44.52799987792969)","(-55.650001525878906, 99.9000015258789, 56.14400100708008)","(-96.60000610351562, 113.25000762939453, 65.8239974975586)","(-129.75, 132.75, 71.63199615478516)","(-169.95001220703125, 18.450000762939453, -9.196000099182129)","(-178.0500030517578, 100.05000305175781, 50.33599853515625)","(-185.85000610351562, 60.900001525878906, 6.291999816894531)","(-306.75, 181.35000610351562, 24.68400001525879)"
6,2023-08-02 15:57:01.712603,"(-135.15000915527344, 149.70001220703125, 29.52400016784668)","(-84.45000457763672, 138.90000915527344, 58.321998596191406)","(-66.45000457763672, 145.35000610351562, 40.65599822998047)","(-70.6500015258789, 105.30000305175781, 53.481998443603516)","(-121.80000305175781, 121.05000305175781, 63.645999908447266)","(-173.85000610351562, 151.5, 74.53600311279297)","(-191.25, 22.200000762939453, -9.196000099182129)","(-219.45001220703125, 110.85000610351562, 48.15800094604492)","(-208.95001220703125, 63.45000076293945, 7.74399995803833)","(-362.25, 186.90000915527344, 24.926000595092773)"
7,2023-08-02 15:57:01.772761,"(-128.40000915527344, 142.95001220703125, 31.459999084472656)","(-79.6500015258789, 135.0, 60.257999420166016)","(-63.000003814697266, 138.15000915527344, 44.2859992980957)","(-67.20000457763672, 102.1500015258789, 56.14400100708008)","(-115.6500015258789, 116.85000610351562, 66.79199981689453)","(-166.20001220703125, 146.85000610351562, 74.052001953125)","(-184.35000610351562, 18.450000762939453, -8.470000267028809)","(-208.50001525878906, 105.45000457763672, 51.30400085449219)","(-201.00001525878906, 60.60000228881836, 9.437999725341797)","(-342.45001220703125, 180.75, 23.715999603271484)"
8,2023-08-02 15:57:01.862240,"(-125.4000015258789, 140.70001220703125, 31.218000411987305)","(-77.25, 132.75, 60.257999420166016)","(-60.900001525878906, 135.60000610351562, 45.737998962402344)","(-63.750003814697266, 100.6500015258789, 54.69200134277344)","(-111.1500015258789, 113.55000305175781, 64.61399841308594)","(-156.90000915527344, 142.65000915527344, 75.26200103759766)","(-179.70001220703125, 16.80000114440918, -8.470000267028809)","(-200.40000915527344, 102.30000305175781, 49.36800003051758)","(-197.70001220703125, 59.70000076293945, 8.470000267028809)","(-330.9000244140625, 180.0, 21.780000686645508)"
9,2023-08-02 15:57:01.922987,"(-119.55000305175781, 136.65000915527344, 31.218000411987305)","(-73.5, 132.0, 60.742000579833984)","(-57.45000076293945, 132.60000610351562, 44.04399871826172)","(-60.900001525878906, 100.80000305175781, 56.14400100708008)","(-105.9000015258789, 113.25000762939453, 65.33999633789062)","(-149.40000915527344, 140.85000610351562, 74.29399871826172)","(-174.0, 15.750000953674316, -8.711999893188477)","(-193.35000610351562, 100.35000610351562, 47.67399978637695)","(-192.15000915527344, 60.000003814697266, 8.470000267028809)","(-318.75, 178.5, 17.423999786376953)"
10,2023-08-02 15:57:01.982863,"(-103.95000457763672, 125.70000457763672, 31.218000411987305)","(-62.85000228881836, 126.00000762939453, 61.46799850463867)","(-49.650001525878906, 123.00000762939453, 43.31800079345703)","(-50.55000305175781, 96.1500015258789, 55.902000427246094)","(-91.6500015258789, 108.1500015258789, 65.0979995727539)","(-127.6500015258789, 130.8000030517578, 70.4219970703125)","(-158.5500030517578, 11.25, -8.711999893188477)","(-169.65000915527344, 93.9000015258789, 44.04399871826172)","(-175.8000030517578, 56.70000076293945, 8.470000267028809)","(-282.1500244140625, 172.0500030517578, 7.74399995803833)"
11,2023-08-02 15:57:02.042265,"(-83.55000305175781, 112.05000305175781, 33.395999908447266)","(-47.70000076293945, 118.05000305175781, 63.1619987487793)","(-37.80000305175781, 110.55000305175781, 44.04399871826172)","(-37.95000076293945, 91.20000457763672, 57.354000091552734)","(-71.25, 98.4000015258789, 63.645999908447266)","(-96.30000305175781, 119.70000457763672, 65.33999633789062)","(-136.20001220703125, 4.5, -8.227999687194824)","(-136.5, 82.80000305175781, 42.10799789428711)","(-154.95001220703125, 51.750003814697266, 9.92199993133545)","(-235.20001220703125, 160.5, 3.871999979019165)"
12,2023-08-02 15:57:02.102186,"(-64.6500015258789, 97.6500015258789, 38.236000061035156)","(-33.45000076293945, 109.6500015258789, 66.30799865722656)","(-27.450000762939453, 95.70000457763672, 46.947998046875)","(-24.150001525878906, 85.95000457763672, 59.290000915527344)","(-53.400001525878906, 90.1500015258789, 66.55000305175781)","(-68.55000305175781, 103.50000762939453, 66.30799865722656)","(-116.4000015258789, -4.350000381469727, -6.776000022888184)","(-105.75000762939453, 70.35000610351562, 43.31800079345703)","(-133.35000610351562, 45.75, 12.100000381469727)","(-188.70001220703125, 147.0, 2.9040000438690186)"
13,2023-08-02 15:57:02.162026,"(-42.45000076293945, 81.0, 44.77000045776367)","(-16.650001525878906, 98.70000457763672, 69.21199798583984)","(-14.700000762939453, 79.05000305175781, 50.81999969482422)","(-7.950000286102295, 76.35000610351562, 62.91999816894531)","(-31.200000762939453, 78.0, 70.66400146484375)","(-34.5, 84.75, 71.8740005493164)","(-91.5, -14.550000190734863, -5.081999778747559)","(-69.0, 53.85000228881836, 45.012001037597656)","(-107.70000457763672, 36.60000228881836, 16.45599937438965)","(-137.10000610351562, 129.15000915527344, 4.113999843597412)"
14,2023-08-02 15:57:02.222212,"(-26.100000381469727, 68.70000457763672, 49.36800003051758)","(-3.750000238418579, 90.1500015258789, 74.052001953125)","(-6.600000381469727, 65.70000457763672, 53.965999603271484)","(2.5500001907348633, 69.1500015258789, 65.58200073242188)","(-15.750000953674316, 68.70000457763672, 74.29399871826172)","(-13.050000190734863, 67.95000457763672, 71.14800262451172)","(-73.5, -23.55000114440918, -3.629999876022339)","(-42.900001525878906, 40.650001525878906, 49.85200119018555)","(-90.30000305175781, 30.30000114440918, 19.118000030517578)","(-100.95000457763672, 113.70000457763672, 7.501999855041504)"
15,2023-08-02 15:57:02.282201,"(-15.600000381469727, 60.150001525878906, 51.78799819946289)","(4.800000190734863, 84.0, 76.95600128173828)","(-0.75, 56.85000228881836, 57.59600067138672)","(12.300000190734863, 65.70000457763672, 68.48600006103516)","(-4.350000381469727, 61.20000076293945, 75.98799896240234)","(4.800000190734863, 59.250003814697266, 79.3759994506836)","(-61.500003814697266, -30.750001907348633, -1.694000005722046)","(-25.950000762939453, 31.05000114440918, 51.54600143432617)","(-75.75, 23.700000762939453, 21.780000686645508)","(-77.70000457763672, 102.1500015258789, 9.196000099182129)"
