,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10
0,2023-08-02 15:56:44.972472,"(1.9500000476837158, 44.85000228881836, 56.869998931884766)","(17.700000762939453, 72.0, 81.31199645996094)","(8.100000381469727, 39.900001525878906, 63.88800048828125)","(25.650001525878906, 53.55000305175781, 71.38999938964844)","(11.550000190734863, 48.0, 80.34400177001953)","(25.200000762939453, 43.20000076293945, 79.86000061035156)","(-42.150001525878906, -42.60000228881836, -0.48399999737739563)","(-1.2000000476837158, 11.700000762939453, 57.354000091552734)","(-54.750003814697266, 10.350000381469727, 26.86199951171875)","(-46.05000305175781, 83.4000015258789, 13.552000045776367)"
1,2023-08-02 15:56:45.032135,"(1.350000023841858, 44.400001525878906, 58.56399917602539)","(17.850000381469727, 71.10000610351562, 80.8280029296875)","(8.100000381469727, 41.25, 62.678001403808594)","(24.750001907348633, 54.150001525878906, 72.11599731445312)","(11.550000190734863, 47.25, 80.34400177001953)","(26.700000762939453, 40.05000305175781, 83.9739990234375)","(-42.0, -43.650001525878906, 0.0)","(-1.9500000476837158, 12.750000953674316, 57.59600067138672)","(-55.35000228881836, 9.90000057220459, 28.31399917602539)","(-46.5, 83.55000305175781, 12.583999633789062)"
2,2023-08-02 15:56:45.115385,"(1.2000000476837158, 44.55000305175781, 57.354000091552734)","(18.450000762939453, 71.10000610351562, 80.34400177001953)","(8.100000381469727, 41.55000305175781, 62.91999816894531)","(25.80000114440918, 54.000003814697266, 71.8740005493164)","(11.40000057220459, 46.95000076293945, 78.6500015258789)","(25.80000114440918, 40.80000305175781, 83.24800109863281)","(-41.25, -43.05000305175781, 0.0)","(-1.5, 12.300000190734863, 56.38600158691406)","(-54.900001525878906, 10.950000762939453, 26.86199951171875)","(-46.95000076293945, 83.70000457763672, 13.552000045776367)"
3,2023-08-02 15:56:45.152452,"(1.8000000715255737, 44.85000228881836, 58.07999801635742)","(17.100000381469727, 71.85000610351562, 81.31199645996094)","(8.25, 40.95000076293945, 63.40399932861328)","(25.500001907348633, 53.85000228881836, 72.11599731445312)","(10.65000057220459, 46.95000076293945, 80.58599853515625)","(22.950000762939453, 43.20000076293945, 81.7959976196289)","(-41.85000228881836, -43.05000305175781, 0.24199999868869781)","(-1.2000000476837158, 11.850000381469727, 57.59600067138672)","(-54.900001525878906, 11.700000762939453, 26.86199951171875)","(-46.95000076293945, 83.25, 13.067999839782715)"
4,2023-08-02 15:56:45.212776,"(1.350000023841858, 45.30000305175781, 57.354000091552734)","(17.55000114440918, 70.80000305175781, 80.8280029296875)","(7.950000286102295, 41.10000228881836, 63.88800048828125)","(25.200000762939453, 54.30000305175781, 72.35800170898438)","(11.100000381469727, 47.85000228881836, 81.31199645996094)","(25.200000762939453, 43.05000305175781, 82.76399993896484)","(-41.70000076293945, -43.5, -0.24199999868869781)","(-1.2000000476837158, 12.450000762939453, 56.869998931884766)","(-54.60000228881836, 10.350000381469727, 26.619998931884766)","(-46.35000228881836, 83.55000305175781, 13.309999465942383)"
5,2023-08-02 15:56:45.272720,"(2.1000001430511475, 44.55000305175781, 58.56399917602539)","(17.400001525878906, 71.70000457763672, 80.8280029296875)","(7.950000286102295, 40.35000228881836, 62.43600082397461)","(25.05000114440918, 54.000003814697266, 72.11599731445312)","(11.25, 47.55000305175781, 80.10199737548828)","(25.950000762939453, 42.30000305175781, 84.21599578857422)","(-41.85000228881836, -43.05000305175781, -0.24199999868869781)","(-1.350000023841858, 12.0, 57.354000091552734)","(-54.750003814697266, 10.65000057220459, 27.829999923706055)","(-46.80000305175781, 84.0, 12.826000213623047)"
6,2023-08-02 15:56:45.332295,"(1.5, 44.85000228881836, 58.07999801635742)","(17.400001525878906, 72.1500015258789, 80.58599853515625)","(7.950000286102295, 40.5, 62.91999816894531)","(25.350000381469727, 54.30000305175781, 72.5999984741211)","(11.700000762939453, 48.0, 80.10199737548828)","(24.600000381469727, 42.0, 82.76399993896484)","(-42.0, -43.05000305175781, 0.0)","(-0.30000001192092896, 13.350000381469727, 57.354000091552734)","(-55.35000228881836, 10.950000762939453, 26.13599967956543)","(-46.35000228881836, 83.70000457763672, 12.342000007629395)"
7,2023-08-02 15:56:45.392919,"(0.9000000357627869, 45.150001525878906, 57.11199951171875)","(17.100000381469727, 72.45000457763672, 80.58599853515625)","(7.500000476837158, 41.55000305175781, 63.40399932861328)","(25.80000114440918, 55.35000228881836, 71.14800262451172)","(10.65000057220459, 47.70000076293945, 79.86000061035156)","(25.05000114440918, 40.650001525878906, 81.55400085449219)","(-42.0, -42.30000305175781, -0.24199999868869781)","(-1.2000000476837158, 12.90000057220459, 57.59600067138672)","(-55.35000228881836, 11.40000057220459, 26.378000259399414)","(-47.70000076293945, 84.75, 13.067999839782715)"
8,2023-08-02 15:56:45.452332,"(0.6000000238418579, 46.05000305175781, 56.38600158691406)","(17.25, 73.05000305175781, 81.7959976196289)","(7.350000381469727, 42.75, 62.43600082397461)","(24.900001525878906, 55.05000305175781, 70.18000030517578)","(11.25, 48.150001525878906, 79.61799621582031)","(25.80000114440918, 42.0, 83.48999786376953)","(-42.45000076293945, -41.70000076293945, -0.7260000109672546)","(-2.5500001907348633, 13.800000190734863, 56.62799835205078)","(-55.650001525878906, 11.550000190734863, 24.441999435424805)","(-48.150001525878906, 85.35000610351562, 10.64799976348877)"
9,2023-08-02 15:56:45.535767,"(0.0, 48.150001525878906, 52.75600051879883)","(16.5, 74.10000610351562, 78.16600036621094)","(7.200000286102295, 43.650001525878906, 60.5)","(23.850000381469727, 56.400001525878906, 70.66400146484375)","(9.90000057220459, 50.55000305175781, 79.13400268554688)","(24.150001525878906, 44.85000228881836, 80.10199737548828)","(-44.85000228881836, -39.75, -2.177999973297119)","(-3.0, 15.000000953674316, 55.17599868774414)","(-57.750003814697266, 14.40000057220459, 22.989999771118164)","(-50.10000228881836, 88.5, 7.259999752044678)"
10,2023-08-02 15:56:45.602311,"(-2.1000001430511475, 52.20000076293945, 44.2859992980957)","(15.000000953674316, 76.6500015258789, 74.052001953125)","(5.850000381469727, 47.10000228881836, 54.45000076293945)","(22.200000762939453, 58.20000076293945, 65.33999633789062)","(7.650000095367432, 52.95000076293945, 73.80999755859375)","(21.450000762939453, 46.80000305175781, 77.68199920654297)","(-47.10000228881836, -36.45000076293945, -6.050000190734863)","(-7.350000381469727, 20.700000762939453, 48.641998291015625)","(-60.30000305175781, 18.900001525878906, 14.277999877929688)","(-54.30000305175781, 94.20000457763672, -2.4200000762939453)"
11,2023-08-02 15:56:45.662152,"(-8.700000762939453, 62.250003814697266, 26.619998931884766)","(10.65000057220459, 82.35000610351562, 63.40399932861328)","(3.3000001907348633, 55.80000305175781, 41.13999938964844)","(18.900001525878906, 63.45000076293945, 56.38600158691406)","(1.9500000476837158, 59.70000076293945, 61.95199966430664)","(13.65000057220459, 55.35000228881836, 63.1619987487793)","(-54.150001525878906, -27.30000114440918, -14.03600025177002)","(-16.200000762939453, 28.950000762939453, 31.944000244140625)","(-68.55000305175781, 27.150001525878906, -2.4200000762939453)","(-68.70000457763672, 110.85000610351562, -29.03999900817871)"
12,2023-08-02 15:56:45.722269,"(-30.30000114440918, 91.80000305175781, 3.1459999084472656)","(-4.800000190734863, 98.85000610351562, 46.70600128173828)","(-7.350000381469727, 79.95000457763672, 18.875999450683594)","(2.25, 77.10000610351562, 40.89799880981445)","(-18.0, 79.20000457763672, 42.349998474121094)","(-14.40000057220459, 74.85000610351562, 37.5099983215332)","(-81.0, -4.5, -23.715999603271484)","(-50.85000228881836, 59.10000228881836, 3.388000011444092)","(-98.25000762939453, 47.10000228881836, -22.263999938964844)","(-126.00000762939453, 155.10000610351562, -60.742000579833984)"
