,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10
0,2023-08-02 15:57:45.872469,"(1.9500000476837158, 44.10000228881836, 58.805999755859375)","(18.30000114440918, 71.25, 81.31199645996094)","(8.25, 40.05000305175781, 63.645999908447266)","(25.500001907348633, 54.45000076293945, 72.5999984741211)","(11.850000381469727, 46.95000076293945, 81.06999969482422)","(27.150001525878906, 40.35000228881836, 84.45800018310547)","(-42.0, -43.80000305175781, 0.24199999868869781)","(0.0, 11.850000381469727, 58.07999801635742)","(-53.85000228881836, 9.450000762939453, 26.378000259399414)","(-46.20000076293945, 82.80000305175781, 12.826000213623047)"
1,2023-08-02 15:57:45.932059,"(1.6500000953674316, 44.70000076293945, 59.77399826049805)","(18.150001525878906, 71.4000015258789, 81.7959976196289)","(8.100000381469727, 40.95000076293945, 63.88800048828125)","(25.650001525878906, 53.70000076293945, 73.32599639892578)","(12.15000057220459, 47.55000305175781, 80.58599853515625)","(25.80000114440918, 37.35000228881836, 84.94200134277344)","(-41.55000305175781, -44.10000228881836, 0.48399999737739563)","(-1.2000000476837158, 12.15000057220459, 60.257999420166016)","(-54.60000228881836, 10.050000190734863, 28.79800033569336)","(-46.650001525878906, 82.6500015258789, 13.309999465942383)"
2,2023-08-02 15:57:45.991819,"(1.2000000476837158, 45.150001525878906, 58.321998596191406)","(18.75, 71.55000305175781, 81.55400085449219)","(8.25, 41.70000076293945, 62.194000244140625)","(24.900001525878906, 53.85000228881836, 73.08399963378906)","(11.100000381469727, 48.900001525878906, 80.8280029296875)","(27.000001907348633, 39.150001525878906, 82.76399993896484)","(-42.150001525878906, -43.5, 0.48399999737739563)","(-2.25, 11.550000190734863, 57.59600067138672)","(-54.750003814697266, 10.800000190734863, 28.07200050354004)","(-46.650001525878906, 83.55000305175781, 13.067999839782715)"
3,2023-08-02 15:57:46.052686,"(0.9000000357627869, 45.900001525878906, 57.354000091552734)","(18.30000114440918, 72.30000305175781, 81.06999969482422)","(7.800000190734863, 41.400001525878906, 63.40399932861328)","(25.200000762939453, 54.900001525878906, 72.35800170898438)","(10.950000762939453, 48.45000076293945, 80.10199737548828)","(24.750001907348633, 43.650001525878906, 86.87799835205078)","(-43.20000076293945, -42.30000305175781, 0.24199999868869781)","(-2.25, 12.90000057220459, 58.56399917602539)","(-56.10000228881836, 11.100000381469727, 27.104000091552734)","(-47.400001525878906, 84.30000305175781, 13.552000045776367)"
4,2023-08-02 15:57:46.112526,"(-0.75, 48.30000305175781, 57.8380012512207)","(16.650001525878906, 74.4000015258789, 81.06999969482422)","(7.350000381469727, 42.60000228881836, 62.43600082397461)","(23.55000114440918, 56.10000228881836, 72.35800170898438)","(10.200000762939453, 51.000003814697266, 79.61799621582031)","(23.100000381469727, 42.0, 83.73200225830078)","(-44.25, -39.75, 0.24199999868869781)","(-4.200000286102295, 14.550000190734863, 58.07999801635742)","(-57.60000228881836, 13.200000762939453, 25.40999984741211)","(-50.10000228881836, 87.30000305175781, 13.067999839782715)"
5,2023-08-02 15:57:46.172053,"(-8.40000057220459, 58.05000305175781, 54.45000076293945)","(11.40000057220459, 79.80000305175781, 80.10199737548828)","(4.200000286102295, 50.250003814697266, 60.742000579833984)","(18.600000381469727, 61.05000305175781, 71.14800262451172)","(4.350000381469727, 55.650001525878906, 79.86000061035156)","(16.05000114440918, 47.10000228881836, 83.24800109863281)","(-52.95000076293945, -31.80000114440918, -0.9679999947547913)","(-12.15000057220459, 23.25, 56.869998931884766)","(-66.9000015258789, 22.350000381469727, 24.441999435424805)","(-61.80000305175781, 100.20000457763672, 14.277999877929688)"
6,2023-08-02 15:57:46.232112,"(-40.80000305175781, 87.30000305175781, 55.65999984741211)","(-10.65000057220459, 95.70000457763672, 77.44000244140625)","(-10.800000190734863, 73.35000610351562, 61.95199966430664)","(-3.450000047683716, 74.25, 69.93799591064453)","(-23.700000762939453, 72.75, 81.31199645996094)","(-17.100000381469727, 69.60000610351562, 83.48999786376953)","(-87.45000457763672, -13.350000381469727, 0.24199999868869781)","(-53.70000076293945, 45.900001525878906, 62.91999816894531)","(-104.10000610351562, 36.0, 26.378000259399414)","(-123.60000610351562, 127.95000457763672, 35.332000732421875)"
7,2023-08-02 15:57:46.291866,"(-116.85000610351562, 126.9000015258789, 61.95199966430664)","(-65.85000610351562, 118.50000762939453, 80.8280029296875)","(-50.55000305175781, 110.55000305175781, 73.80999755859375)","(-51.900001525878906, 89.85000610351562, 72.5999984741211)","(-91.05000305175781, 96.30000305175781, 89.2979965209961)","(-112.6500015258789, 103.95000457763672, 102.8499984741211)","(-163.35000610351562, 0.9000000357627869, 4.113999843597412)","(-160.35000610351562, 73.35000610351562, 85.18399810791016)","(-178.65000915527344, 44.10000228881836, 33.395999908447266)","(-274.3500061035156, 139.8000030517578, 81.7959976196289)"
8,2023-08-02 15:57:46.380489,"(-170.70001220703125, 146.85000610351562, 59.77399826049805)","(-107.70000457763672, 132.90000915527344, 78.40799713134766)","(-82.95000457763672, 135.0, 77.197998046875)","(-88.95000457763672, 97.95000457763672, 70.66400146484375)","(-145.0500030517578, 109.50000762939453, 91.71800231933594)","(-202.50001525878906, 130.8000030517578, 122.69400024414062)","(-214.35000610351562, 8.40000057220459, 3.1459999084472656)","(-247.95001220703125, 87.30000305175781, 93.41200256347656)","(-228.60000610351562, 48.750003814697266, 30.733999252319336)","(-386.5500183105469, 146.85000610351562, 86.63600158691406)"
9,2023-08-02 15:57:46.442554,"(-168.15000915527344, 142.65000915527344, 60.98400115966797)","(-107.85000610351562, 132.60000610351562, 80.34400177001953)","(-82.80000305175781, 133.8000030517578, 77.197998046875)","(-89.10000610351562, 97.05000305175781, 72.11599731445312)","(-144.75, 108.45000457763672, 91.23400115966797)","(-206.70001220703125, 131.25, 120.75799560546875)","(-212.5500030517578, 7.050000190734863, 3.388000011444092)","(-248.70001220703125, 87.1500015258789, 92.68599700927734)","(-226.8000030517578, 46.80000305175781, 31.459999084472656)","(-381.6000061035156, 145.20001220703125, 84.69999694824219)"
10,2023-08-02 15:57:46.502566,"(-168.15000915527344, 143.85000610351562, 60.5)","(-106.35000610351562, 132.75, 80.58599853515625)","(-82.35000610351562, 132.60000610351562, 79.13400268554688)","(-86.70000457763672, 96.60000610351562, 72.11599731445312)","(-142.8000030517578, 108.60000610351562, 92.44400024414062)","(-201.90000915527344, 129.90000915527344, 122.45199584960938)","(-211.50001525878906, 7.350000381469727, 3.871999979019165)","(-245.70001220703125, 85.05000305175781, 93.65399932861328)","(-225.3000030517578, 46.80000305175781, 30.492000579833984)","(-379.3500061035156, 143.25, 88.5719985961914)"
