,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10
0,2023-08-02 16:08:15.120784,"(3.450000047683716, 43.05000305175781, 62.43600082397461)","(20.700000762939453, 69.45000457763672, 85.18399810791016)","(9.300000190734863, 38.70000076293945, 67.03399658203125)","(27.150001525878906, 50.85000228881836, 76.95600128173828)","(13.500000953674316, 45.30000305175781, 83.48999786376953)","(29.700000762939453, 34.95000076293945, 87.12000274658203)","(-39.45000076293945, -46.95000076293945, 2.4200000762939453)","(0.9000000357627869, 5.850000381469727, 61.709999084472656)","(-52.35000228881836, 7.350000381469727, 31.70199966430664)","(-43.95000076293945, 78.9000015258789, 17.18199920654297)"
1,2023-08-02 16:08:15.180669,"(3.6000001430511475, 42.900001525878906, 62.91999816894531)","(20.400001525878906, 69.45000457763672, 85.90999603271484)","(9.15000057220459, 38.55000305175781, 67.03399658203125)","(27.450000762939453, 51.45000076293945, 76.2300033569336)","(13.950000762939453, 46.05000305175781, 85.18399810791016)","(30.600000381469727, 35.400001525878906, 85.4260025024414)","(-40.35000228881836, -46.80000305175781, 1.9359999895095825)","(2.1000001430511475, 5.700000286102295, 61.709999084472656)","(-53.10000228881836, 8.40000057220459, 31.218000411987305)","(-43.95000076293945, 78.60000610351562, 17.666000366210938)"
2,2023-08-02 16:08:15.240509,"(3.750000238418579, 42.150001525878906, 62.194000244140625)","(19.80000114440918, 70.35000610351562, 85.18399810791016)","(9.300000190734863, 38.400001525878906, 67.51799774169922)","(27.000001907348633, 51.30000305175781, 76.95600128173828)","(13.800000190734863, 45.900001525878906, 84.21599578857422)","(30.900001525878906, 34.650001525878906, 90.26599884033203)","(-40.5, -47.55000305175781, 1.9359999895095825)","(1.0500000715255737, 6.300000190734863, 62.43600082397461)","(-52.20000076293945, 7.200000286102295, 30.492000579833984)","(-44.10000228881836, 78.9000015258789, 16.45599937438965)"
3,2023-08-02 16:08:15.300134,"(3.450000047683716, 42.900001525878906, 62.91999816894531)","(21.0, 70.05000305175781, 86.1520004272461)","(9.300000190734863, 38.400001525878906, 67.51799774169922)","(27.600000381469727, 51.45000076293945, 76.47200012207031)","(13.500000953674316, 45.150001525878906, 85.18399810791016)","(28.05000114440918, 35.70000076293945, 86.39399719238281)","(-40.05000305175781, -46.95000076293945, 1.694000005722046)","(0.9000000357627869, 6.0, 62.194000244140625)","(-51.150001525878906, 7.350000381469727, 30.733999252319336)","(-44.400001525878906, 78.30000305175781, 16.940000534057617)"
4,2023-08-02 16:08:15.360319,"(3.3000001907348633, 42.30000305175781, 63.645999908447266)","(20.25, 70.6500015258789, 85.90999603271484)","(9.0, 38.10000228881836, 68.00199890136719)","(27.450000762939453, 51.900001525878906, 77.197998046875)","(14.100000381469727, 45.30000305175781, 83.48999786376953)","(29.250001907348633, 36.30000305175781, 85.18399810791016)","(-40.05000305175781, -47.400001525878906, 2.177999973297119)","(1.2000000476837158, 5.400000095367432, 63.40399932861328)","(-52.500003814697266, 6.900000095367432, 31.218000411987305)","(-43.95000076293945, 78.0, 17.18199920654297)"
5,2023-08-02 16:08:15.420158,"(4.050000190734863, 42.900001525878906, 63.1619987487793)","(19.80000114440918, 69.9000015258789, 85.66799926757812)","(9.15000057220459, 38.10000228881836, 67.76000213623047)","(27.750001907348633, 51.000003814697266, 76.47200012207031)","(13.050000190734863, 46.5, 84.69999694824219)","(27.750001907348633, 36.45000076293945, 87.36199951171875)","(-39.30000305175781, -46.20000076293945, 1.4520000219345093)","(1.8000000715255737, 6.900000095367432, 61.22599792480469)","(-52.650001525878906, 8.40000057220459, 32.18600082397461)","(-43.5, 78.9000015258789, 17.423999786376953)"
6,2023-08-02 16:08:15.480029,"(3.6000001430511475, 42.150001525878906, 62.43600082397461)","(20.25, 69.9000015258789, 85.66799926757812)","(9.300000190734863, 38.25, 67.2760009765625)","(27.450000762939453, 50.85000228881836, 75.98799896240234)","(13.200000762939453, 44.85000228881836, 84.45800018310547)","(27.450000762939453, 34.20000076293945, 88.5719985961914)","(-39.900001525878906, -47.25, 2.177999973297119)","(1.5, 6.150000095367432, 62.91999816894531)","(-51.750003814697266, 7.350000381469727, 31.944000244140625)","(-43.650001525878906, 78.75, 17.18199920654297)"
7,2023-08-02 16:08:15.563966,"(3.1500000953674316, 42.60000228881836, 63.1619987487793)","(20.55000114440918, 70.35000610351562, 85.66799926757812)","(9.0, 38.70000076293945, 67.51799774169922)","(27.750001907348633, 51.60000228881836, 76.95600128173828)","(13.950000762939453, 45.900001525878906, 84.69999694824219)","(27.150001525878906, 33.30000305175781, 83.9739990234375)","(-40.35000228881836, -46.650001525878906, 2.177999973297119)","(1.2000000476837158, 6.750000476837158, 62.194000244140625)","(-52.05000305175781, 7.800000190734863, 32.428001403808594)","(-44.10000228881836, 78.9000015258789, 18.149999618530273)"
8,2023-08-02 16:08:15.630782,"(3.9000000953674316, 42.45000076293945, 61.709999084472656)","(20.850000381469727, 69.45000457763672, 85.66799926757812)","(8.850000381469727, 38.400001525878906, 66.55000305175781)","(27.600000381469727, 51.60000228881836, 76.2300033569336)","(13.200000762939453, 45.60000228881836, 84.45800018310547)","(28.80000114440918, 36.60000228881836, 86.63600158691406)","(-40.20000076293945, -46.80000305175781, 1.694000005722046)","(0.9000000357627869, 6.600000381469727, 61.95199966430664)","(-51.900001525878906, 7.950000286102295, 31.944000244140625)","(-44.70000076293945, 78.60000610351562, 17.18199920654297)"
9,2023-08-02 16:08:15.690643,"(3.1500000953674316, 43.20000076293945, 62.91999816894531)","(20.400001525878906, 70.05000305175781, 85.66799926757812)","(9.0, 39.0, 67.03399658203125)","(27.450000762939453, 52.20000076293945, 76.95600128173828)","(15.15000057220459, 44.55000305175781, 84.69999694824219)","(26.55000114440918, 33.900001525878906, 87.84600067138672)","(-40.650001525878906, -46.650001525878906, 1.9359999895095825)","(1.350000023841858, 6.0, 62.194000244140625)","(-51.900001525878906, 7.050000190734863, 31.459999084472656)","(-44.25, 78.75, 17.423999786376953)"
10,2023-08-02 16:08:15.750483,"(3.3000001907348633, 43.05000305175781, 62.43600082397461)","(20.400001525878906, 69.75, 85.66799926757812)","(9.0, 38.400001525878906, 67.51799774169922)","(27.450000762939453, 51.60000228881836, 75.98799896240234)","(13.950000762939453, 45.60000228881836, 85.66799926757812)","(30.000001907348633, 36.0, 89.2979965209961)","(-40.650001525878906, -46.05000305175781, 1.694000005722046)","(1.2000000476837158, 5.700000286102295, 62.678001403808594)","(-52.20000076293945, 6.750000476837158, 31.459999084472656)","(-44.400001525878906, 78.60000610351562, 17.666000366210938)"
11,2023-08-02 16:08:15.809834,"(3.750000238418579, 43.5, 62.43600082397461)","(20.55000114440918, 69.75, 84.21599578857422)","(9.0, 39.30000305175781, 66.55000305175781)","(27.600000381469727, 51.30000305175781, 76.71399688720703)","(13.65000057220459, 45.60000228881836, 83.73200225830078)","(28.950000762939453, 38.10000228881836, 87.12000274658203)","(-40.650001525878906, -46.80000305175781, 1.694000005722046)","(1.6500000953674316, 5.700000286102295, 61.46799850463867)","(-52.35000228881836, 7.650000095367432, 30.733999252319336)","(-43.95000076293945, 78.9000015258789, 16.697999954223633)"
12,2023-08-02 16:08:15.894168,"(3.750000238418579, 42.900001525878906, 62.43600082397461)","(19.80000114440918, 70.20000457763672, 84.69999694824219)","(9.600000381469727, 38.70000076293945, 68.00199890136719)","(27.30000114440918, 51.45000076293945, 75.98799896240234)","(13.350000381469727, 46.20000076293945, 83.48999786376953)","(28.650001525878906, 35.55000305175781, 86.39399719238281)","(-40.20000076293945, -46.35000228881836, 1.9359999895095825)","(0.6000000238418579, 5.700000286102295, 62.91999816894531)","(-51.900001525878906, 7.500000476837158, 30.492000579833984)","(-43.35000228881836, 78.45000457763672, 16.940000534057617)"
