,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10
0,2023-08-02 16:08:06.720968,"(4.200000286102295, 43.20000076293945, 62.91999816894531)","(19.950000762939453, 70.35000610351562, 85.4260025024414)","(8.700000762939453, 39.45000076293945, 66.55000305175781)","(27.600000381469727, 52.05000305175781, 76.2300033569336)","(14.100000381469727, 46.650001525878906, 84.21599578857422)","(25.950000762939453, 35.25, 88.08799743652344)","(-40.35000228881836, -45.75, 1.4520000219345093)","(1.2000000476837158, 7.200000286102295, 60.98400115966797)","(-51.30000305175781, 7.950000286102295, 31.70199966430664)","(-44.400001525878906, 79.95000457763672, 16.45599937438965)"
1,2023-08-02 16:08:06.779817,"(3.750000238418579, 43.650001525878906, 62.194000244140625)","(19.5, 70.35000610351562, 85.18399810791016)","(8.850000381469727, 39.45000076293945, 67.03399658203125)","(27.450000762939453, 52.05000305175781, 75.98799896240234)","(14.40000057220459, 47.25, 83.48999786376953)","(27.30000114440918, 35.85000228881836, 84.94200134277344)","(-40.650001525878906, -46.20000076293945, 1.694000005722046)","(1.6500000953674316, 6.600000381469727, 61.709999084472656)","(-51.750003814697266, 8.25, 32.18600082397461)","(-45.0, 79.80000305175781, 15.246000289916992)"
2,2023-08-02 16:08:06.840169,"(3.1500000953674316, 43.650001525878906, 61.709999084472656)","(20.25, 70.35000610351562, 86.63600158691406)","(8.850000381469727, 39.75, 65.58200073242188)","(26.850000381469727, 51.900001525878906, 75.98799896240234)","(14.250000953674316, 46.20000076293945, 83.48999786376953)","(27.750001907348633, 33.30000305175781, 85.90999603271484)","(-39.75, -46.35000228881836, 1.694000005722046)","(0.75, 7.200000286102295, 60.98400115966797)","(-52.650001525878906, 8.100000381469727, 31.459999084472656)","(-44.25, 79.20000457763672, 16.697999954223633)"
3,2023-08-02 16:08:06.900009,"(2.8500001430511475, 42.60000228881836, 62.43600082397461)","(20.25, 70.80000305175781, 84.21599578857422)","(9.15000057220459, 39.30000305175781, 66.79199981689453)","(26.850000381469727, 52.20000076293945, 75.74600219726562)","(13.500000953674316, 45.60000228881836, 83.9739990234375)","(28.200000762939453, 36.45000076293945, 89.05599975585938)","(-39.900001525878906, -45.45000076293945, 1.694000005722046)","(-0.30000001192092896, 6.450000286102295, 60.257999420166016)","(-52.95000076293945, 8.40000057220459, 30.733999252319336)","(-45.0, 79.6500015258789, 16.697999954223633)"
4,2023-08-02 16:08:06.959954,"(3.6000001430511475, 43.5, 62.43600082397461)","(20.100000381469727, 70.5, 85.90999603271484)","(8.550000190734863, 39.0, 66.55000305175781)","(27.600000381469727, 52.05000305175781, 75.74600219726562)","(13.800000190734863, 46.5, 83.48999786376953)","(27.450000762939453, 36.75, 84.69999694824219)","(-40.5, -46.05000305175781, 1.694000005722046)","(1.350000023841858, 7.050000190734863, 61.95199966430664)","(-52.650001525878906, 7.650000095367432, 31.70199966430664)","(-45.150001525878906, 79.5, 17.18199920654297)"
5,2023-08-02 16:08:07.047411,"(3.1500000953674316, 43.20000076293945, 62.194000244140625)","(20.400001525878906, 70.5, 84.45800018310547)","(9.15000057220459, 38.55000305175781, 67.03399658203125)","(26.700000762939453, 51.750003814697266, 76.95600128173828)","(13.350000381469727, 47.25, 84.45800018310547)","(27.450000762939453, 36.0, 85.90999603271484)","(-40.35000228881836, -45.75, 2.177999973297119)","(0.75, 7.050000190734863, 60.257999420166016)","(-52.650001525878906, 8.850000381469727, 30.733999252319336)","(-44.70000076293945, 79.6500015258789, 16.940000534057617)"
6,2023-08-02 16:08:07.110398,"(3.0, 42.60000228881836, 62.194000244140625)","(20.55000114440918, 69.75, 84.94200134277344)","(9.0, 39.30000305175781, 66.79199981689453)","(27.000001907348633, 52.05000305175781, 76.95600128173828)","(13.050000190734863, 46.20000076293945, 84.21599578857422)","(27.30000114440918, 36.150001525878906, 88.5719985961914)","(-41.10000228881836, -45.75, 1.694000005722046)","(0.45000001788139343, 7.350000381469727, 62.43600082397461)","(-52.650001525878906, 7.650000095367432, 30.733999252319336)","(-44.25, 79.5, 17.666000366210938)"
7,2023-08-02 16:08:07.140318,"(2.700000047683716, 43.20000076293945, 61.95199966430664)","(19.80000114440918, 69.60000610351562, 84.45800018310547)","(9.0, 38.55000305175781, 66.30799865722656)","(27.30000114440918, 51.900001525878906, 75.98799896240234)","(13.500000953674316, 45.900001525878906, 85.18399810791016)","(26.250001907348633, 35.70000076293945, 87.36199951171875)","(-40.650001525878906, -45.75, 1.694000005722046)","(1.350000023841858, 6.450000286102295, 61.709999084472656)","(-52.650001525878906, 7.800000190734863, 31.459999084472656)","(-43.95000076293945, 79.5, 16.940000534057617)"
8,2023-08-02 16:08:07.230097,"(2.8500001430511475, 43.35000228881836, 62.194000244140625)","(19.950000762939453, 70.35000610351562, 84.94200134277344)","(9.15000057220459, 39.45000076293945, 67.03399658203125)","(26.400001525878906, 52.05000305175781, 76.47200012207031)","(13.350000381469727, 46.20000076293945, 85.18399810791016)","(27.900001525878906, 36.75, 88.08799743652344)","(-40.20000076293945, -46.20000076293945, 1.694000005722046)","(1.0500000715255737, 6.450000286102295, 61.46799850463867)","(-53.55000305175781, 6.900000095367432, 29.766000747680664)","(-43.650001525878906, 79.5, 15.729999542236328)"
9,2023-08-02 16:08:07.260311,"(2.700000047683716, 43.05000305175781, 61.709999084472656)","(18.75, 70.5, 84.94200134277344)","(8.850000381469727, 39.30000305175781, 66.55000305175781)","(27.000001907348633, 51.750003814697266, 76.47200012207031)","(12.90000057220459, 45.45000076293945, 84.69999694824219)","(29.850000381469727, 35.25, 89.05599975585938)","(-40.20000076293945, -46.20000076293945, 1.4520000219345093)","(0.75, 6.300000190734863, 62.678001403808594)","(-52.95000076293945, 7.800000190734863, 30.492000579833984)","(-44.400001525878906, 79.80000305175781, 15.246000289916992)"
10,2023-08-02 16:08:07.380077,"(3.750000238418579, 43.35000228881836, 61.95199966430664)","(19.80000114440918, 70.20000457763672, 85.4260025024414)","(8.700000762939453, 38.400001525878906, 66.79199981689453)","(27.600000381469727, 50.85000228881836, 75.26200103759766)","(13.350000381469727, 46.650001525878906, 83.9739990234375)","(27.30000114440918, 34.5, 87.36199951171875)","(-40.20000076293945, -46.650001525878906, 1.9359999895095825)","(0.30000001192092896, 5.850000381469727, 61.22599792480469)","(-51.900001525878906, 7.800000190734863, 30.492000579833984)","(-43.05000305175781, 79.80000305175781, 16.45599937438965)"
