,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10
0,2023-08-01 13:07:37.132018,"(24.0, 55.95000076293945, -1281.6319580078125)","(-6.300000190734863, -6.150000095367432, -5.323999881744385)","(-5.550000190734863, -5.700000286102295, -4.5980000495910645)","(20.25, 39.60000228881836, 75.50399780273438)","(-27.900001525878906, 3.1500000953674316, 47.91600036621094)","(-14.250000953674316, -9.15000057220459, 50.33599853515625)","(-26.850000381469727, -36.30000305175781, 39.44599914550781)","(-41.400001525878906, -37.80000305175781, 25.40999984741211)","(-61.80000305175781, -8.700000762939453, 34.12200164794922)","(-43.650001525878906, 43.05000305175781, 25.167999267578125)"
1,2023-08-01 13:07:37.192855,"(22.05000114440918, 54.000003814697266, -1292.0379638671875)","(-6.450000286102295, -6.300000190734863, -5.323999881744385)","(-5.700000286102295, -5.700000286102295, -4.5980000495910645)","(18.150001525878906, 37.05000305175781, 76.71399688720703)","(-30.30000114440918, 0.6000000238418579, 49.125999450683594)","(-16.650001525878906, -10.5, 54.20800018310547)","(-28.950000762939453, -38.25, 41.86600112915039)","(-44.25, -41.10000228881836, 30.25)","(-64.80000305175781, -12.15000057220459, 35.09000015258789)","(-47.10000228881836, 38.70000076293945, 28.79800033569336)"
2,2023-08-01 13:07:37.252090,"(19.350000381469727, 53.55000305175781, -1256.4639892578125)","(-6.300000190734863, -6.600000381469727, -5.081999778747559)","(-5.550000190734863, -5.700000286102295, -4.5980000495910645)","(15.90000057220459, 36.0, 80.34400177001953)","(-33.60000228881836, -1.8000000715255737, 52.75600051879883)","(-18.450000762939453, -17.25, 57.11199951171875)","(-30.30000114440918, -39.60000228881836, 42.59199905395508)","(-46.95000076293945, -43.650001525878906, 31.218000411987305)","(-64.80000305175781, -14.100000381469727, 35.81599807739258)","(-48.900001525878906, 36.150001525878906, 30.733999252319336)"
3,2023-08-01 13:07:37.312581,"(20.25, 55.500003814697266, -1300.991943359375)","(-6.600000381469727, -6.300000190734863, -5.323999881744385)","(-5.550000190734863, -5.400000095367432, -4.5980000495910645)","(17.400001525878906, 36.60000228881836, 78.89199829101562)","(-32.10000228881836, 0.45000001788139343, 51.30400085449219)","(-17.850000381469727, -12.90000057220459, 56.62799835205078)","(-29.850000381469727, -37.80000305175781, 41.86600112915039)","(-45.900001525878906, -41.10000228881836, 30.97599983215332)","(-65.10000610351562, -11.40000057220459, 34.847999572753906)","(-49.35000228881836, 39.0, 29.52400016784668)"
4,2023-08-01 13:07:37.372426,"(22.350000381469727, 57.60000228881836, -1241.7020263671875)","(-6.0, -6.600000381469727, -5.081999778747559)","(-5.400000095367432, -5.700000286102295, -5.081999778747559)","(18.150001525878906, 39.0, 77.92399597167969)","(-30.30000114440918, 2.4000000953674316, 49.61000061035156)","(-16.05000114440918, -11.100000381469727, 53.7239990234375)","(-28.350000381469727, -36.150001525878906, 39.6879997253418)","(-44.55000305175781, -37.80000305175781, 26.86199951171875)","(-63.30000305175781, -9.75, 33.63800048828125)","(-45.900001525878906, 42.75, 25.652000427246094)"
5,2023-08-01 13:07:37.432261,"(24.0, 59.55000305175781, -1330.031982421875)","(-6.450000286102295, -6.150000095367432, -5.081999778747559)","(-5.550000190734863, -5.700000286102295, -4.840000152587891)","(19.5, 40.20000076293945, 76.47200012207031)","(-28.650001525878906, 6.450000286102295, 46.70600128173828)","(-14.850000381469727, -6.0, 52.029998779296875)","(-27.30000114440918, -33.45000076293945, 37.5099983215332)","(-42.30000305175781, -35.55000305175781, 26.378000259399414)","(-63.150001525878906, -8.25, 31.218000411987305)","(-45.30000305175781, 46.650001525878906, 23.23200035095215)"
6,2023-08-01 13:07:37.492207,"(25.200000762939453, 59.85000228881836, -1319.384033203125)","(-6.300000190734863, -6.450000286102295, -5.081999778747559)","(-5.550000190734863, -5.550000190734863, -4.840000152587891)","(20.700000762939453, 41.25, 74.77799987792969)","(-28.05000114440918, 6.300000190734863, 45.737998962402344)","(-12.450000762939453, -5.850000381469727, 48.15800094604492)","(-26.100000381469727, -32.85000228881836, 37.99399948120117)","(-40.20000076293945, -32.10000228881836, 23.95800018310547)","(-61.35000228881836, -6.450000286102295, 30.492000579833984)","(-44.10000228881836, 48.30000305175781, 21.538000106811523)"
7,2023-08-01 13:07:37.552046,"(25.80000114440918, 59.10000228881836, -1293.73193359375)","(-5.850000381469727, -6.600000381469727, -5.081999778747559)","(-5.700000286102295, -5.850000381469727, -4.5980000495910645)","(20.700000762939453, 40.80000305175781, 74.53600311279297)","(-27.30000114440918, 6.600000381469727, 47.189998626708984)","(-11.850000381469727, -5.850000381469727, 48.400001525878906)","(-26.250001907348633, -34.05000305175781, 37.5099983215332)","(-40.20000076293945, -34.95000076293945, 24.200000762939453)","(-61.20000076293945, -7.050000190734863, 31.459999084472656)","(-43.35000228881836, 46.35000228881836, 24.441999435424805)"
8,2023-08-01 13:07:37.612265,"(24.450000762939453, 56.250003814697266, -1283.083984375)","(-6.300000190734863, -6.150000095367432, -5.081999778747559)","(-5.700000286102295, -5.25, -4.5980000495910645)","(20.700000762939453, 38.25, 77.68199920654297)","(-28.650001525878906, 2.4000000953674316, 48.88399887084961)","(-13.500000953674316, -8.100000381469727, 52.513999938964844)","(-26.400001525878906, -36.60000228881836, 41.624000549316406)","(-41.85000228881836, -37.95000076293945, 27.58799934387207)","(-61.500003814697266, -10.350000381469727, 34.36399841308594)","(-44.55000305175781, 43.20000076293945, 27.829999923706055)"
9,2023-08-01 13:07:37.702570,"(21.0, 51.900001525878906, -1269.0479736328125)","(-6.450000286102295, -6.450000286102295, -4.840000152587891)","(-5.700000286102295, -5.400000095367432, -4.840000152587891)","(18.75, 35.70000076293945, 81.7959976196289)","(-30.30000114440918, -1.8000000715255737, 52.513999938964844)","(-14.850000381469727, -14.250000953674316, 56.38600158691406)","(-28.05000114440918, -40.80000305175781, 44.52799987792969)","(-43.35000228881836, -42.60000228881836, 33.395999908447266)","(-63.60000228881836, -14.40000057220459, 38.47800064086914)","(-45.900001525878906, 35.55000305175781, 33.63800048828125)"
