,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10
0,2023-08-01 13:07:04.672383,"(28.80000114440918, 58.95000076293945, -1298.0880126953125)","(-6.300000190734863, -6.150000095367432, -5.323999881744385)","(-5.400000095367432, -5.700000286102295, -4.840000152587891)","(23.100000381469727, 40.05000305175781, 75.50399780273438)","(-22.5, 5.550000190734863, 46.70600128173828)","(-6.600000381469727, -6.600000381469727, 50.093997955322266)","(-22.05000114440918, -33.45000076293945, 38.236000061035156)","(-35.10000228881836, -34.5, 23.95800018310547)","(-58.650001525878906, -7.350000381469727, 30.007999420166016)","(-38.400001525878906, 47.400001525878906, 21.053998947143555)"
1,2023-08-01 13:07:04.732231,"(30.150001525878906, 58.20000076293945, -1270.741943359375)","(-5.850000381469727, -6.450000286102295, -5.323999881744385)","(-5.700000286102295, -5.400000095367432, -4.840000152587891)","(24.150001525878906, 39.45000076293945, 75.0199966430664)","(-22.200000762939453, 4.950000286102295, 44.77000045776367)","(-6.300000190734863, -7.350000381469727, 48.400001525878906)","(-21.900001525878906, -34.650001525878906, 37.0260009765625)","(-33.900001525878906, -34.35000228881836, 23.4739990234375)","(-57.45000076293945, -7.650000095367432, 31.218000411987305)","(-37.650001525878906, 46.5, 22.263999938964844)"
2,2023-08-01 13:07:04.792121,"(29.700000762939453, 57.900001525878906, -1292.7640380859375)","(-6.450000286102295, -6.450000286102295, -5.081999778747559)","(-5.550000190734863, -5.550000190734863, -4.5980000495910645)","(23.400001525878906, 39.150001525878906, 73.80999755859375)","(-22.200000762939453, 3.1500000953674316, 44.77000045776367)","(-7.200000286102295, -8.850000381469727, 47.189998626708984)","(-21.0, -35.55000305175781, 36.784000396728516)","(-32.55000305175781, -36.900001525878906, 24.200000762939453)","(-57.30000305175781, -8.700000762939453, 29.03999900817871)","(-36.0, 45.900001525878906, 21.29599952697754)"
3,2023-08-01 13:07:04.852697,"(28.350000381469727, 54.900001525878906, -1317.2059326171875)","(-6.300000190734863, -6.450000286102295, -5.081999778747559)","(-5.700000286102295, -5.850000381469727, -4.840000152587891)","(23.400001525878906, 38.55000305175781, 75.0199966430664)","(-22.650001525878906, 1.8000000715255737, 45.737998962402344)","(-8.25, -10.200000762939453, 51.30400085449219)","(-22.5, -37.05000305175781, 37.5099983215332)","(-34.80000305175781, -37.35000228881836, 25.167999267578125)","(-57.750003814697266, -10.65000057220459, 30.492000579833984)","(-38.25, 42.45000076293945, 22.989999771118164)"
4,2023-08-01 13:07:04.912537,"(24.0, 51.000003814697266, -1258.157958984375)","(-6.450000286102295, -6.450000286102295, -5.323999881744385)","(-5.400000095367432, -5.700000286102295, -4.5980000495910645)","(21.30000114440918, 34.35000228881836, 75.74600219726562)","(-27.000001907348633, -1.0500000715255737, 46.22200012207031)","(-10.950000762939453, -15.600000381469727, 52.513999938964844)","(-25.80000114440918, -41.55000305175781, 41.13999938964844)","(-39.0, -44.10000228881836, 26.378000259399414)","(-61.20000076293945, -15.750000953674316, 34.36399841308594)","(-42.75, 34.95000076293945, 27.829999923706055)"
5,2023-08-01 13:07:04.972411,"(17.400001525878906, 48.30000305175781, -1349.3919677734375)","(-6.450000286102295, -6.750000476837158, -5.081999778747559)","(-5.700000286102295, -5.850000381469727, -4.840000152587891)","(16.5, 32.25, 79.13400268554688)","(-33.75, -7.200000286102295, 50.33599853515625)","(-22.200000762939453, -20.850000381469727, 55.902000427246094)","(-30.900001525878906, -45.30000305175781, 44.77000045776367)","(-47.10000228881836, -51.45000076293945, 32.66999816894531)","(-65.55000305175781, -19.650001525878906, 36.05799865722656)","(-49.500003814697266, 26.700000762939453, 31.944000244140625)"
6,2023-08-01 13:07:05.032793,"(17.700000762939453, 54.000003814697266, -1239.5240478515625)","(-6.450000286102295, -6.450000286102295, -5.323999881744385)","(-5.700000286102295, -4.950000286102295, -4.840000152587891)","(16.05000114440918, 34.5, 79.3759994506836)","(-35.400001525878906, -3.450000047683716, 52.029998779296875)","(-22.350000381469727, -18.900001525878906, 58.07999801635742)","(-30.600000381469727, -39.900001525878906, 41.86600112915039)","(-47.400001525878906, -46.05000305175781, 33.15399932861328)","(-65.70000457763672, -15.000000953674316, 35.81599807739258)","(-50.70000076293945, 35.85000228881836, 29.52400016784668)"
7,2023-08-01 13:07:05.092626,"(23.55000114440918, 58.20000076293945, -1266.8699951171875)","(-6.300000190734863, -6.600000381469727, -5.081999778747559)","(-6.300000190734863, -5.550000190734863, -4.5980000495910645)","(18.450000762939453, 38.55000305175781, 75.98799896240234)","(-29.700000762939453, 3.450000047683716, 49.85200119018555)","(-15.600000381469727, -9.90000057220459, 55.17599868774414)","(-27.000001907348633, -35.70000076293945, 40.172000885009766)","(-41.70000076293945, -36.75, 29.281999588012695)","(-63.000003814697266, -9.15000057220459, 33.395999908447266)","(-45.30000305175781, 43.95000076293945, 25.167999267578125)"
8,2023-08-01 13:07:05.182385,"(27.150001525878906, 59.400001525878906, -1280.906005859375)","(-6.300000190734863, -6.300000190734863, -5.081999778747559)","(-5.550000190734863, -5.550000190734863, -4.5980000495910645)","(21.900001525878906, 40.95000076293945, 75.0199966430664)","(-25.350000381469727, 4.950000286102295, 46.70600128173828)","(-10.350000381469727, -7.950000286102295, 50.33599853515625)","(-24.0, -34.05000305175781, 37.75199890136719)","(-38.400001525878906, -34.20000076293945, 25.652000427246094)","(-59.85000228881836, -8.100000381469727, 31.218000411987305)","(-40.20000076293945, 46.35000228881836, 23.4739990234375)"
9,2023-08-01 13:07:05.242265,"(28.200000762939453, 58.20000076293945, -1278.72802734375)","(-6.300000190734863, -6.300000190734863, -5.323999881744385)","(-5.700000286102295, -5.850000381469727, -4.840000152587891)","(23.25, 39.75, 74.53600311279297)","(-24.150001525878906, 4.950000286102295, 46.947998046875)","(-6.750000476837158, -8.25, 52.029998779296875)","(-22.05000114440918, -34.35000228881836, 37.75199890136719)","(-36.0, -35.10000228881836, 25.652000427246094)","(-58.80000305175781, -7.650000095367432, 30.492000579833984)","(-39.0, 46.20000076293945, 22.263999938964844)"
