,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10
0,2023-08-01 13:06:56.452039,"(17.700000762939453, 54.000003814697266, -1227.1820068359375)","(-6.450000286102295, -6.450000286102295, -5.323999881744385)","(-5.850000381469727, -5.400000095367432, -4.5980000495910645)","(15.300000190734863, 36.150001525878906, 77.197998046875)","(-35.25, -0.75, 48.400001525878906)","(-21.900001525878906, -13.950000762939453, 51.54600143432617)","(-32.400001525878906, -39.900001525878906, 41.38199996948242)","(-48.750003814697266, -42.30000305175781, 28.79800033569336)","(-67.80000305175781, -14.100000381469727, 36.05799865722656)","(-52.05000305175781, 36.60000228881836, 27.829999923706055)"
1,2023-08-01 13:06:56.511898,"(16.80000114440918, 54.30000305175781, -1267.35400390625)","(-6.600000381469727, -6.300000190734863, -5.081999778747559)","(-5.700000286102295, -5.400000095367432, -4.840000152587891)","(14.550000190734863, 35.400001525878906, 79.13400268554688)","(-36.45000076293945, -1.2000000476837158, 53.23999786376953)","(-26.700000762939453, -16.350000381469727, 54.933998107910156)","(-33.900001525878906, -40.05000305175781, 43.801998138427734)","(-52.500003814697266, -43.650001525878906, 32.66999816894531)","(-69.0, -14.700000762939453, 37.268001556396484)","(-55.20000076293945, 35.400001525878906, 31.459999084472656)"
2,2023-08-01 13:06:56.572313,"(19.200000762939453, 55.80000305175781, -1292.0379638671875)","(-6.300000190734863, -6.300000190734863, -5.565999984741211)","(-5.700000286102295, -5.550000190734863, -4.5980000495910645)","(15.750000953674316, 37.20000076293945, 80.34400177001953)","(-34.5, 1.0500000715255737, 52.99800109863281)","(-22.200000762939453, -12.600000381469727, 60.257999420166016)","(-31.650001525878906, -38.10000228881836, 43.801998138427734)","(-48.60000228881836, -40.95000076293945, 34.36399841308594)","(-67.05000305175781, -12.90000057220459, 38.47800064086914)","(-51.750003814697266, 38.70000076293945, 30.97599983215332)"
3,2023-08-01 13:06:56.632749,"(24.30000114440918, 57.60000228881836, -1335.114013671875)","(-6.450000286102295, -6.300000190734863, -5.081999778747559)","(-5.850000381469727, -5.550000190734863, -4.355999946594238)","(18.900001525878906, 38.70000076293945, 78.89199829101562)","(-29.700000762939453, 3.9000000953674316, 52.029998779296875)","(-14.550000190734863, -9.15000057220459, 57.59600067138672)","(-27.900001525878906, -35.400001525878906, 41.86600112915039)","(-43.5, -37.35000228881836, 32.9119987487793)","(-62.85000228881836, -9.450000762939453, 34.60599899291992)","(-44.25, 43.650001525878906, 28.79800033569336)"
4,2023-08-01 13:06:56.693076,"(26.55000114440918, 58.35000228881836, -1333.6619873046875)","(-6.150000095367432, -6.450000286102295, -5.081999778747559)","(-5.850000381469727, -5.700000286102295, -4.840000152587891)","(21.150001525878906, 39.75, 76.71399688720703)","(-26.250001907348633, 4.950000286102295, 48.88399887084961)","(-10.65000057220459, -7.200000286102295, 53.23999786376953)","(-25.200000762939453, -34.80000305175781, 40.172000885009766)","(-37.95000076293945, -37.35000228881836, 28.555999755859375)","(-61.650001525878906, -8.700000762939453, 33.880001068115234)","(-41.10000228881836, 44.70000076293945, 26.13599967956543)"
5,2023-08-01 13:06:56.751946,"(27.000001907348633, 58.35000228881836, -1310.6719970703125)","(-6.450000286102295, -6.450000286102295, -5.323999881744385)","(-5.700000286102295, -5.550000190734863, -4.840000152587891)","(21.900001525878906, 39.900001525878906, 77.197998046875)","(-24.750001907348633, 3.9000000953674316, 49.61000061035156)","(-11.25, -9.0, 53.481998443603516)","(-23.700000762939453, -35.25, 39.6879997253418)","(-37.95000076293945, -35.85000228881836, 27.104000091552734)","(-60.30000305175781, -8.550000190734863, 33.880001068115234)","(-40.650001525878906, 43.80000305175781, 25.167999267578125)"
6,2023-08-01 13:06:56.812607,"(25.80000114440918, 55.650001525878906, -1282.842041015625)","(-6.450000286102295, -6.0, -5.323999881744385)","(-5.700000286102295, -5.700000286102295, -4.5980000495910645)","(21.30000114440918, 37.80000305175781, 77.68199920654297)","(-26.100000381469727, 1.6500000953674316, 47.43199920654297)","(-10.5, -10.350000381469727, 53.481998443603516)","(-25.200000762939453, -37.20000076293945, 39.93000030517578)","(-37.80000305175781, -38.85000228881836, 28.31399917602539)","(-60.45000076293945, -10.200000762939453, 32.428001403808594)","(-41.85000228881836, 42.150001525878906, 25.40999984741211)"
7,2023-08-01 13:06:56.901804,"(22.650001525878906, 54.000003814697266, -1318.416015625)","(-6.450000286102295, -6.0, -5.081999778747559)","(-5.700000286102295, -5.400000095367432, -4.840000152587891)","(19.5, 37.05000305175781, 77.92399597167969)","(-29.400001525878906, 0.0, 49.125999450683594)","(-14.700000762939453, -12.750000953674316, 54.20800018310547)","(-27.750001907348633, -39.150001525878906, 40.172000885009766)","(-42.30000305175781, -42.150001525878906, 28.07200050354004)","(-62.10000228881836, -12.0, 33.15399932861328)","(-44.85000228881836, 39.150001525878906, 26.378000259399414)"
8,2023-08-01 13:06:56.963032,"(17.25, 52.80000305175781, -1246.783935546875)","(-6.300000190734863, -6.150000095367432, -5.081999778747559)","(-6.150000095367432, -5.700000286102295, -4.355999946594238)","(15.300000190734863, 35.55000305175781, 80.10199737548828)","(-34.95000076293945, -1.6500000953674316, 49.85200119018555)","(-24.150001525878906, -17.850000381469727, 51.30400085449219)","(-32.400001525878906, -41.10000228881836, 42.10799789428711)","(-48.30000305175781, -45.0, 30.97599983215332)","(-68.10000610351562, -15.450000762939453, 35.332000732421875)","(-52.20000076293945, 34.650001525878906, 30.492000579833984)"
9,2023-08-01 13:06:57.022102,"(12.300000190734863, 55.500003814697266, -1260.3359375)","(-6.0, -6.300000190734863, -5.323999881744385)","(-5.550000190734863, -5.550000190734863, -4.840000152587891)","(11.700000762939453, 34.95000076293945, 80.10199737548828)","(-40.35000228881836, -2.25, 52.27199935913086)","(-27.150001525878906, -16.950000762939453, 54.45000076293945)","(-37.80000305175781, -40.650001525878906, 43.31800079345703)","(-56.400001525878906, -44.55000305175781, 32.9119987487793)","(-72.9000015258789, -14.850000381469727, 37.0260009765625)","(-60.150001525878906, 34.5, 32.9119987487793)"
10,2023-08-01 13:06:57.081941,"(13.800000190734863, 57.45000076293945, -1274.3719482421875)","(-5.700000286102295, -6.450000286102295, -5.565999984741211)","(-5.700000286102295, -5.550000190734863, -4.840000152587891)","(12.15000057220459, 37.650001525878906, 80.58599853515625)","(-39.60000228881836, 1.5, 53.23999786376953)","(-28.950000762939453, -13.200000762939453, 59.77399826049805)","(-36.30000305175781, -38.10000228881836, 44.2859992980957)","(-57.150001525878906, -41.10000228881836, 33.63800048828125)","(-72.1500015258789, -11.850000381469727, 37.0260009765625)","(-59.55000305175781, 39.0, 32.9119987487793)"
11,2023-08-01 13:06:57.142813,"(18.450000762939453, 59.85000228881836, -1325.91796875)","(-6.300000190734863, -5.850000381469727, -5.323999881744385)","(-5.850000381469727, -5.700000286102295, -4.355999946594238)","(15.300000190734863, 39.75, 79.3759994506836)","(-35.10000228881836, 4.350000381469727, 54.20800018310547)","(-22.950000762939453, -8.550000190734863, 57.8380012512207)","(-32.70000076293945, -34.650001525878906, 42.83399963378906)","(-49.80000305175781, -36.900001525878906, 33.15399932861328)","(-69.30000305175781, -9.0, 35.09000015258789)","(-52.95000076293945, 44.70000076293945, 28.79800033569336)"
12,2023-08-01 13:06:57.202654,"(22.350000381469727, 58.20000076293945, -1266.385986328125)","(-6.450000286102295, -6.600000381469727, -5.323999881744385)","(-5.550000190734863, -5.550000190734863, -4.840000152587891)","(17.55000114440918, 39.60000228881836, 78.89199829101562)","(-30.750001907348633, 3.6000001430511475, 50.81999969482422)","(-15.90000057220459, -8.700000762939453, 53.23999786376953)","(-29.400001525878906, -36.0, 40.41400146484375)","(-44.85000228881836, -36.45000076293945, 32.428001403808594)","(-65.10000610351562, -8.700000762939453, 33.15399932861328)","(-47.10000228881836, 43.80000305175781, 27.58799934387207)"
13,2023-08-01 13:06:57.262108,"(22.650001525878906, 56.10000228881836, -1239.7659912109375)","(-6.450000286102295, -6.300000190734863, -5.081999778747559)","(-5.700000286102295, -5.700000286102295, -4.840000152587891)","(19.200000762939453, 37.95000076293945, 77.197998046875)","(-30.000001907348633, 1.350000023841858, 48.88399887084961)","(-14.700000762939453, -10.200000762939453, 49.85200119018555)","(-28.650001525878906, -36.75, 39.44599914550781)","(-42.75, -38.10000228881836, 28.07200050354004)","(-64.05000305175781, -10.050000190734863, 31.944000244140625)","(-45.75, 42.0, 23.95800018310547)"
14,2023-08-01 13:06:57.322946,"(21.75, 55.35000228881836, -1288.166015625)","(-6.300000190734863, -6.300000190734863, -5.081999778747559)","(-6.0, -5.850000381469727, -4.355999946594238)","(18.450000762939453, 37.35000228881836, 75.98799896240234)","(-30.450000762939453, 1.2000000476837158, 46.70600128173828)","(-13.200000762939453, -10.350000381469727, 51.54600143432617)","(-27.750001907348633, -38.70000076293945, 38.236000061035156)","(-42.0, -40.20000076293945, 25.167999267578125)","(-63.900001525878906, -11.700000762939453, 32.18600082397461)","(-45.75, 40.05000305175781, 22.506000518798828)"
15,2023-08-01 13:06:57.382140,"(20.25, 53.10000228881836, -1348.4239501953125)","(-6.450000286102295, -6.150000095367432, -5.081999778747559)","(-5.400000095367432, -5.850000381469727, -4.5980000495910645)","(17.400001525878906, 36.30000305175781, 74.77799987792969)","(-32.10000228881836, -0.75, 45.737998962402344)","(-15.600000381469727, -13.65000057220459, 49.85200119018555)","(-30.450000762939453, -40.05000305175781, 37.268001556396484)","(-44.25, -43.5, 23.4739990234375)","(-65.85000610351562, -13.350000381469727, 30.97599983215332)","(-47.10000228881836, 37.35000228881836, 22.02199935913086)"
16,2023-08-01 13:06:57.442488,"(14.850000381469727, 51.45000076293945, -1259.85205078125)","(-6.150000095367432, -6.300000190734863, -5.081999778747559)","(-5.550000190734863, -5.550000190734863, -4.5980000495910645)","(12.750000953674316, 34.95000076293945, 76.71399688720703)","(-37.5, -3.0, 46.947998046875)","(-23.400001525878906, -16.650001525878906, 48.15800094604492)","(-35.25, -42.0, 39.44599914550781)","(-49.500003814697266, -44.85000228881836, 26.378000259399414)","(-70.20000457763672, -14.850000381469727, 33.395999908447266)","(-53.70000076293945, 31.950000762939453, 24.68400001525879)"
17,2023-08-01 13:06:57.502192,"(4.350000381469727, 54.150001525878906, -1296.39404296875)","(-6.150000095367432, -6.0, -5.323999881744385)","(-5.700000286102295, -5.550000190734863, -4.5980000495910645)","(6.150000095367432, 34.95000076293945, 78.89199829101562)","(-47.25, -4.200000286102295, 51.30400085449219)","(-38.70000076293945, -17.700000762939453, 52.99800109863281)","(-43.650001525878906, -42.60000228881836, 44.52799987792969)","(-65.85000610351562, -48.60000228881836, 29.52400016784668)","(-78.75, -17.400001525878906, 38.961997985839844)","(-70.5, 28.950000762939453, 33.63800048828125)"
18,2023-08-01 13:06:57.562379,"(4.650000095367432, 58.20000076293945, -1270.0159912109375)","(-5.700000286102295, -6.450000286102295, -4.840000152587891)","(-5.25, -5.25, -5.081999778747559)","(4.950000286102295, 36.75, 83.00599670410156)","(-50.70000076293945, 1.350000023841858, 55.65999984741211)","(-42.45000076293945, -13.950000762939453, 62.43600082397461)","(-45.75, -38.10000228881836, 46.70600128173828)","(-70.05000305175781, -42.900001525878906, 37.0260009765625)","(-81.0, -13.800000190734863, 41.13999938964844)","(-73.95000457763672, 36.60000228881836, 36.54199981689453)"
