,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10
0,2023-08-02 16:02:30.061633,"(3.750000238418579, 42.0, 58.07999801635742)","(20.100000381469727, 69.45000457763672, 81.7959976196289)","(9.15000057220459, 38.55000305175781, 63.40399932861328)","(26.400001525878906, 51.60000228881836, 73.56800079345703)","(13.350000381469727, 44.70000076293945, 80.8280029296875)","(29.250001907348633, 35.25, 82.03800201416016)","(-40.5, -46.35000228881836, -0.7260000109672546)","(1.0500000715255737, 5.550000190734863, 57.8380012512207)","(-52.650001525878906, 7.350000381469727, 25.167999267578125)","(-44.400001525878906, 79.35000610351562, 10.890000343322754)"
1,2023-08-02 16:02:30.121332,"(3.450000047683716, 42.45000076293945, 58.07999801635742)","(20.25, 69.30000305175781, 81.31199645996094)","(9.0, 39.45000076293945, 61.95199966430664)","(26.850000381469727, 51.150001525878906, 71.63199615478516)","(13.350000381469727, 44.55000305175781, 80.58599853515625)","(29.100000381469727, 37.20000076293945, 80.34400177001953)","(-40.20000076293945, -46.80000305175781, -0.24199999868869781)","(1.0500000715255737, 6.300000190734863, 57.354000091552734)","(-52.95000076293945, 7.350000381469727, 24.926000595092773)","(-43.650001525878906, 79.5, 11.37399959564209)"
2,2023-08-02 16:02:30.181652,"(4.350000381469727, 42.45000076293945, 57.354000091552734)","(19.80000114440918, 69.60000610351562, 80.58599853515625)","(9.300000190734863, 38.85000228881836, 62.43600082397461)","(27.30000114440918, 51.45000076293945, 72.84200286865234)","(12.600000381469727, 45.30000305175781, 80.8280029296875)","(30.900001525878906, 35.400001525878906, 80.34400177001953)","(-40.650001525878906, -46.95000076293945, -0.48399999737739563)","(1.5, 6.300000190734863, 56.62799835205078)","(-52.650001525878906, 7.650000095367432, 24.68400001525879)","(-43.05000305175781, 79.6500015258789, 11.857999801635742)"
3,2023-08-02 16:02:30.241997,"(4.050000190734863, 42.60000228881836, 57.11199951171875)","(20.25, 69.9000015258789, 80.34400177001953)","(9.15000057220459, 38.70000076293945, 62.194000244140625)","(27.30000114440918, 50.85000228881836, 71.63199615478516)","(13.950000762939453, 46.05000305175781, 80.10199737548828)","(28.200000762939453, 36.900001525878906, 81.31199645996094)","(-39.0, -47.25, -0.7260000109672546)","(1.9500000476837158, 6.450000286102295, 55.902000427246094)","(-52.650001525878906, 7.500000476837158, 25.167999267578125)","(-43.05000305175781, 78.9000015258789, 11.616000175476074)"
4,2023-08-02 16:02:30.301066,"(4.050000190734863, 42.150001525878906, 56.869998931884766)","(21.0, 69.75, 81.06999969482422)","(9.450000762939453, 38.25, 61.22599792480469)","(27.600000381469727, 50.85000228881836, 71.38999938964844)","(14.100000381469727, 45.75, 80.34400177001953)","(28.650001525878906, 33.60000228881836, 79.3759994506836)","(-39.75, -46.650001525878906, -0.24199999868869781)","(3.1500000953674316, 6.300000190734863, 56.869998931884766)","(-51.150001525878906, 6.300000190734863, 24.926000595092773)","(-42.45000076293945, 78.75, 9.196000099182129)"
5,2023-08-02 16:02:30.360763,"(4.200000286102295, 42.30000305175781, 57.59600067138672)","(19.950000762939453, 68.85000610351562, 81.31199645996094)","(9.300000190734863, 38.85000228881836, 60.742000579833984)","(28.200000762939453, 51.30000305175781, 71.14800262451172)","(14.700000762939453, 45.45000076293945, 78.40799713134766)","(28.950000762939453, 36.900001525878906, 81.06999969482422)","(-38.70000076293945, -46.80000305175781, -1.4520000219345093)","(2.8500001430511475, 5.700000286102295, 54.69200134277344)","(-51.150001525878906, 6.600000381469727, 23.715999603271484)","(-41.25, 78.1500015258789, 8.711999893188477)"
6,2023-08-02 16:02:30.421796,"(5.25, 43.20000076293945, 54.20800018310547)","(21.0, 69.9000015258789, 78.89199829101562)","(9.600000381469727, 39.150001525878906, 60.742000579833984)","(28.200000762939453, 51.45000076293945, 70.66400146484375)","(15.000000953674316, 45.75, 77.44000244140625)","(30.450000762939453, 36.150001525878906, 80.10199737548828)","(-38.25, -46.5, -1.9359999895095825)","(3.750000238418579, 5.400000095367432, 53.7239990234375)","(-50.85000228881836, 8.100000381469727, 22.263999938964844)","(-41.70000076293945, 79.5, 7.986000061035156)"
7,2023-08-02 16:02:30.511578,"(6.300000190734863, 43.95000076293945, 51.30400085449219)","(21.600000381469727, 71.70000457763672, 76.2300033569336)","(10.5, 39.75, 58.321998596191406)","(28.500001907348633, 52.650001525878906, 68.72799682617188)","(15.600000381469727, 45.75, 76.95600128173828)","(32.70000076293945, 36.45000076293945, 77.44000244140625)","(-38.25, -45.60000228881836, -3.629999876022339)","(4.5, 6.900000095367432, 51.0620002746582)","(-50.85000228881836, 8.100000381469727, 17.423999786376953)","(-40.95000076293945, 80.4000015258789, 3.1459999084472656)"
8,2023-08-02 16:02:30.571283,"(6.750000476837158, 45.0, 46.22200012207031)","(22.05000114440918, 72.45000457763672, 73.80999755859375)","(10.950000762939453, 41.400001525878906, 54.69200134277344)","(28.650001525878906, 52.95000076293945, 63.645999908447266)","(15.600000381469727, 47.400001525878906, 72.84200286865234)","(32.10000228881836, 36.150001525878906, 75.26200103759766)","(-37.20000076293945, -44.85000228881836, -6.776000022888184)","(5.400000095367432, 8.25, 46.947998046875)","(-51.30000305175781, 9.0, 12.583999633789062)","(-38.85000228881836, 81.60000610351562, -3.388000011444092)"
9,2023-08-02 16:02:30.631168,"(6.600000381469727, 46.05000305175781, 37.75199890136719)","(22.350000381469727, 72.45000457763672, 68.24400329589844)","(10.950000762939453, 41.400001525878906, 48.88399887084961)","(28.350000381469727, 53.85000228881836, 60.98400115966797)","(15.750000953674316, 48.30000305175781, 67.03399658203125)","(33.45000076293945, 38.55000305175781, 69.4540023803711)","(-37.80000305175781, -43.80000305175781, -9.196000099182129)","(4.950000286102295, 9.300000190734863, 39.44599914550781)","(-51.60000228881836, 10.200000762939453, 4.840000152587891)","(-38.10000228881836, 81.45000457763672, -12.826000213623047)"
