,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10
0,2023-08-02 16:01:57.631746,"(4.800000190734863, 36.900001525878906, 60.742000579833984)","(21.600000381469727, 66.0, 83.24800109863281)","(9.600000381469727, 34.20000076293945, 65.58200073242188)","(28.350000381469727, 47.25, 73.56800079345703)","(14.700000762939453, 41.10000228881836, 83.00599670410156)","(30.30000114440918, 33.60000228881836, 84.21599578857422)","(-38.10000228881836, -51.60000228881836, 0.7260000109672546)","(3.450000047683716, 1.6500000953674316, 58.56399917602539)","(-50.70000076293945, 1.5, 28.79800033569336)","(-42.150001525878906, 73.20000457763672, 14.76200008392334)"
1,2023-08-02 16:01:57.691592,"(4.650000095367432, 37.650001525878906, 60.257999420166016)","(21.600000381469727, 65.70000457763672, 83.24800109863281)","(9.90000057220459, 34.35000228881836, 65.58200073242188)","(28.950000762939453, 47.70000076293945, 74.77799987792969)","(15.300000190734863, 41.55000305175781, 81.55400085449219)","(28.950000762939453, 31.650001525878906, 87.84600067138672)","(-38.10000228881836, -52.35000228881836, 0.7260000109672546)","(3.0, 1.5, 58.805999755859375)","(-49.500003814697266, 1.5, 28.79800033569336)","(-42.150001525878906, 74.4000015258789, 13.309999465942383)"
2,2023-08-02 16:01:57.751061,"(5.700000286102295, 38.10000228881836, 60.257999420166016)","(22.200000762939453, 66.0, 83.24800109863281)","(9.90000057220459, 35.10000228881836, 63.40399932861328)","(28.05000114440918, 47.400001525878906, 74.77799987792969)","(15.000000953674316, 41.25, 82.27999877929688)","(30.900001525878906, 29.55000114440918, 84.94200134277344)","(-38.55000305175781, -51.45000076293945, 0.7260000109672546)","(2.8500001430511475, 0.75, 60.98400115966797)","(-50.10000228881836, 1.9500000476837158, 28.555999755859375)","(-41.85000228881836, 73.5, 14.76200008392334)"
3,2023-08-02 16:01:57.840983,"(5.400000095367432, 37.95000076293945, 60.5)","(21.150001525878906, 66.1500015258789, 83.9739990234375)","(9.90000057220459, 34.650001525878906, 65.0979995727539)","(29.100000381469727, 47.400001525878906, 73.56800079345703)","(14.40000057220459, 41.25, 83.73200225830078)","(32.10000228881836, 30.450000762939453, 85.66799926757812)","(-38.55000305175781, -52.05000305175781, 0.9679999947547913)","(3.1500000953674316, 1.2000000476837158, 59.04800033569336)","(-50.55000305175781, 2.1000001430511475, 29.281999588012695)","(-42.30000305175781, 73.95000457763672, 15.48799991607666)"
4,2023-08-02 16:01:57.900828,"(4.950000286102295, 37.5, 60.742000579833984)","(20.55000114440918, 66.1500015258789, 83.48999786376953)","(9.600000381469727, 35.10000228881836, 65.33999633789062)","(28.650001525878906, 47.70000076293945, 73.80999755859375)","(14.850000381469727, 41.55000305175781, 82.76399993896484)","(29.55000114440918, 30.30000114440918, 84.21599578857422)","(-37.80000305175781, -51.45000076293945, 0.9679999947547913)","(2.8500001430511475, 0.9000000357627869, 60.5)","(-50.85000228881836, 1.0500000715255737, 28.31399917602539)","(-41.85000228881836, 73.95000457763672, 14.76200008392334)"
5,2023-08-02 16:01:57.961390,"(5.25, 37.20000076293945, 60.5)","(21.150001525878906, 65.55000305175781, 84.45800018310547)","(9.90000057220459, 34.95000076293945, 64.61399841308594)","(28.950000762939453, 47.400001525878906, 74.53600311279297)","(15.000000953674316, 41.55000305175781, 82.76399993896484)","(31.350000381469727, 30.450000762939453, 85.18399810791016)","(-38.25, -51.900001525878906, 0.7260000109672546)","(3.1500000953674316, 0.75, 59.77399826049805)","(-50.55000305175781, 2.25, 28.79800033569336)","(-42.30000305175781, 73.5, 14.76200008392334)"
6,2023-08-02 16:01:58.021252,"(5.100000381469727, 37.650001525878906, 60.257999420166016)","(21.150001525878906, 66.60000610351562, 83.48999786376953)","(9.600000381469727, 34.80000305175781, 64.61399841308594)","(27.900001525878906, 47.400001525878906, 74.77799987792969)","(15.450000762939453, 41.10000228881836, 82.27999877929688)","(29.400001525878906, 31.500001907348633, 83.24800109863281)","(-38.400001525878906, -51.45000076293945, 1.2100000381469727)","(3.6000001430511475, 0.6000000238418579, 58.805999755859375)","(-49.80000305175781, 1.2000000476837158, 27.829999923706055)","(-41.85000228881836, 73.20000457763672, 15.729999542236328)"
7,2023-08-02 16:01:58.051684,"(4.950000286102295, 38.400001525878906, 59.77399826049805)","(21.30000114440918, 66.45000457763672, 81.7959976196289)","(9.450000762939453, 34.650001525878906, 64.61399841308594)","(28.350000381469727, 47.85000228881836, 73.80999755859375)","(14.700000762939453, 42.150001525878906, 82.03800201416016)","(28.80000114440918, 31.500001907348633, 88.5719985961914)","(-38.85000228881836, -51.45000076293945, 0.9679999947547913)","(3.450000047683716, 0.75, 58.321998596191406)","(-50.85000228881836, 2.4000000953674316, 27.829999923706055)","(-42.30000305175781, 74.4000015258789, 14.519999504089355)"
8,2023-08-02 16:01:58.141714,"(5.400000095367432, 38.55000305175781, 59.53200149536133)","(20.700000762939453, 66.9000015258789, 81.7959976196289)","(9.75, 35.400001525878906, 65.33999633789062)","(29.250001907348633, 48.150001525878906, 74.052001953125)","(15.000000953674316, 41.10000228881836, 82.27999877929688)","(31.200000762939453, 30.30000114440918, 84.21599578857422)","(-38.70000076293945, -51.750003814697266, 0.24199999868869781)","(2.8500001430511475, 1.5, 57.354000091552734)","(-50.85000228881836, 2.25, 29.03999900817871)","(-42.60000228881836, 74.10000610351562, 13.552000045776367)"
9,2023-08-02 16:01:58.230907,"(5.550000190734863, 38.25, 59.04800033569336)","(21.0, 66.1500015258789, 83.00599670410156)","(9.600000381469727, 35.25, 64.12999725341797)","(28.80000114440918, 47.400001525878906, 72.5999984741211)","(15.15000057220459, 41.70000076293945, 80.8280029296875)","(30.150001525878906, 31.950000762939453, 87.12000274658203)","(-38.25, -51.150001525878906, 0.0)","(3.3000001907348633, 0.9000000357627869, 57.354000091552734)","(-49.500003814697266, 2.25, 26.13599967956543)","(-42.30000305175781, 73.80000305175781, 12.342000007629395)"
