,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10
0,2023-08-02 16:09:24.599745,"(3.6000001430511475, 46.95000076293945, 60.01599884033203)","(20.55000114440918, 73.80000305175781, 84.69999694824219)","(9.0, 42.0, 64.37200164794922)","(27.750001907348633, 54.750003814697266, 74.53600311279297)","(14.100000381469727, 48.750003814697266, 82.52200317382812)","(26.55000114440918, 40.05000305175781, 89.05599975585938)","(-40.05000305175781, -43.20000076293945, 0.48399999737739563)","(1.350000023841858, 10.050000190734863, 59.290000915527344)","(-51.900001525878906, 12.450000762939453, 29.03999900817871)","(-44.25, 83.55000305175781, 15.729999542236328)"
1,2023-08-02 16:09:24.659854,"(3.9000000953674316, 47.85000228881836, 60.257999420166016)","(20.700000762939453, 74.25, 84.94200134277344)","(9.15000057220459, 42.60000228881836, 65.8239974975586)","(27.000001907348633, 55.20000076293945, 74.29399871826172)","(14.850000381469727, 49.80000305175781, 83.00599670410156)","(29.100000381469727, 37.650001525878906, 86.1520004272461)","(-40.20000076293945, -42.75, 0.7260000109672546)","(1.350000023841858, 11.100000381469727, 60.01599884033203)","(-51.900001525878906, 11.25, 29.52400016784668)","(-43.80000305175781, 84.60000610351562, 14.76200008392334)"
2,2023-08-02 16:09:24.719843,"(3.9000000953674316, 47.10000228881836, 60.5)","(19.950000762939453, 73.05000305175781, 83.9739990234375)","(9.300000190734863, 42.45000076293945, 65.58200073242188)","(27.450000762939453, 53.85000228881836, 74.77799987792969)","(14.250000953674316, 49.500003814697266, 82.76399993896484)","(29.100000381469727, 39.30000305175781, 87.12000274658203)","(-39.75, -42.30000305175781, 1.2100000381469727)","(1.350000023841858, 10.5, 59.04800033569336)","(-52.05000305175781, 11.700000762939453, 28.79800033569336)","(-44.55000305175781, 84.60000610351562, 14.277999877929688)"
3,2023-08-02 16:09:24.781714,"(3.9000000953674316, 47.10000228881836, 61.22599792480469)","(20.25, 73.35000610351562, 83.00599670410156)","(9.600000381469727, 42.60000228881836, 64.37200164794922)","(26.850000381469727, 54.60000228881836, 74.53600311279297)","(13.050000190734863, 49.20000076293945, 83.24800109863281)","(27.450000762939453, 40.650001525878906, 86.39399719238281)","(-39.900001525878906, -41.85000228881836, 0.7260000109672546)","(0.6000000238418579, 10.350000381469727, 61.46799850463867)","(-51.900001525878906, 12.600000381469727, 29.03999900817871)","(-44.55000305175781, 83.25, 15.003999710083008)"
4,2023-08-02 16:09:24.870201,"(3.450000047683716, 47.25, 60.01599884033203)","(20.850000381469727, 73.5, 83.48999786376953)","(9.15000057220459, 41.400001525878906, 64.85600280761719)","(27.450000762939453, 54.60000228881836, 75.0199966430664)","(14.40000057220459, 49.650001525878906, 83.24800109863281)","(28.950000762939453, 40.650001525878906, 86.87799835205078)","(-40.20000076293945, -42.900001525878906, 0.9679999947547913)","(1.9500000476837158, 10.5, 60.98400115966797)","(-52.05000305175781, 12.0, 29.281999588012695)","(-44.70000076293945, 84.0, 15.48799991607666)"
5,2023-08-02 16:09:24.899553,"(3.9000000953674316, 47.400001525878906, 59.77399826049805)","(20.400001525878906, 73.5, 83.24800109863281)","(9.300000190734863, 41.55000305175781, 65.33999633789062)","(28.200000762939453, 54.750003814697266, 75.74600219726562)","(14.250000953674316, 49.500003814697266, 82.76399993896484)","(27.900001525878906, 38.400001525878906, 85.90999603271484)","(-38.85000228881836, -42.75, 0.9679999947547913)","(1.8000000715255737, 10.950000762939453, 58.805999755859375)","(-51.900001525878906, 11.25, 29.03999900817871)","(-44.25, 82.80000305175781, 15.729999542236328)"
6,2023-08-02 16:09:24.960643,"(3.6000001430511475, 47.55000305175781, 59.53200149536133)","(20.400001525878906, 73.35000610351562, 83.24800109863281)","(9.300000190734863, 42.0, 64.85600280761719)","(27.000001907348633, 54.45000076293945, 74.53600311279297)","(13.500000953674316, 48.900001525878906, 82.76399993896484)","(26.55000114440918, 39.75, 85.4260025024414)","(-39.900001525878906, -43.20000076293945, 1.2100000381469727)","(1.2000000476837158, 10.5, 60.257999420166016)","(-52.650001525878906, 12.300000190734863, 29.281999588012695)","(-44.400001525878906, 83.55000305175781, 15.48799991607666)"
7,2023-08-02 16:09:25.020440,"(4.800000190734863, 46.95000076293945, 60.742000579833984)","(20.400001525878906, 74.10000610351562, 83.73200225830078)","(9.300000190734863, 42.30000305175781, 65.58200073242188)","(27.600000381469727, 54.900001525878906, 75.0199966430664)","(13.65000057220459, 48.750003814697266, 83.24800109863281)","(31.650001525878906, 41.55000305175781, 81.55400085449219)","(-40.20000076293945, -43.20000076293945, 0.9679999947547913)","(1.350000023841858, 9.15000057220459, 58.56399917602539)","(-52.05000305175781, 12.0, 29.281999588012695)","(-43.95000076293945, 83.70000457763672, 14.519999504089355)"
8,2023-08-02 16:09:25.133953,"(4.5, 47.85000228881836, 60.5)","(20.400001525878906, 73.80000305175781, 83.9739990234375)","(9.600000381469727, 41.85000228881836, 65.58200073242188)","(28.500001907348633, 54.900001525878906, 75.26200103759766)","(13.800000190734863, 49.05000305175781, 82.27999877929688)","(31.350000381469727, 37.95000076293945, 86.1520004272461)","(-39.75, -42.45000076293945, 0.9679999947547913)","(1.350000023841858, 10.050000190734863, 59.53200149536133)","(-51.900001525878906, 12.15000057220459, 30.25)","(-42.900001525878906, 83.70000457763672, 15.003999710083008)"
9,2023-08-02 16:09:25.170945,"(4.650000095367432, 47.10000228881836, 60.742000579833984)","(20.850000381469727, 73.20000457763672, 83.73200225830078)","(9.75, 42.150001525878906, 65.33999633789062)","(28.650001525878906, 54.60000228881836, 74.29399871826172)","(14.550000190734863, 49.05000305175781, 82.27999877929688)","(28.650001525878906, 41.25, 85.4260025024414)","(-38.85000228881836, -42.150001525878906, 1.4520000219345093)","(3.1500000953674316, 10.65000057220459, 61.46799850463867)","(-51.60000228881836, 11.850000381469727, 29.03999900817871)","(-43.20000076293945, 84.30000305175781, 14.03600025177002)"
