,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10
0,2023-08-02 16:09:40.110747,"(2.8500001430511475, 48.45000076293945, 59.53200149536133)","(19.350000381469727, 74.25, 83.48999786376953)","(9.15000057220459, 43.35000228881836, 64.37200164794922)","(27.000001907348633, 55.650001525878906, 74.29399871826172)","(13.500000953674316, 50.55000305175781, 82.03800201416016)","(27.150001525878906, 40.650001525878906, 85.18399810791016)","(-40.80000305175781, -41.70000076293945, 0.9679999947547913)","(0.75, 11.40000057220459, 59.04800033569336)","(-53.400001525878906, 13.200000762939453, 27.58799934387207)","(-44.55000305175781, 85.80000305175781, 14.519999504089355)"
1,2023-08-02 16:09:40.169974,"(2.700000047683716, 49.35000228881836, 60.01599884033203)","(19.5, 75.45000457763672, 83.24800109863281)","(9.0, 43.5, 64.61399841308594)","(27.30000114440918, 56.10000228881836, 74.052001953125)","(12.90000057220459, 50.55000305175781, 82.76399993896484)","(27.150001525878906, 40.80000305175781, 83.73200225830078)","(-40.5, -40.95000076293945, 0.9679999947547913)","(1.2000000476837158, 12.450000762939453, 60.257999420166016)","(-52.95000076293945, 13.65000057220459, 29.03999900817871)","(-45.0, 85.95000457763672, 14.277999877929688)"
2,2023-08-02 16:09:40.230428,"(3.1500000953674316, 48.900001525878906, 59.53200149536133)","(19.80000114440918, 74.55000305175781, 84.21599578857422)","(8.700000762939453, 43.20000076293945, 65.0979995727539)","(27.000001907348633, 55.650001525878906, 74.29399871826172)","(12.90000057220459, 50.70000076293945, 82.03800201416016)","(28.500001907348633, 39.900001525878906, 82.52200317382812)","(-40.5, -40.80000305175781, 0.48399999737739563)","(1.2000000476837158, 12.300000190734863, 59.290000915527344)","(-53.10000228881836, 13.950000762939453, 28.79800033569336)","(-45.0, 86.4000015258789, 14.277999877929688)"
3,2023-08-02 16:09:40.290270,"(3.6000001430511475, 49.500003814697266, 58.805999755859375)","(20.100000381469727, 74.85000610351562, 81.31199645996094)","(8.850000381469727, 44.70000076293945, 63.88800048828125)","(27.600000381469727, 56.85000228881836, 74.29399871826172)","(13.500000953674316, 51.30000305175781, 82.76399993896484)","(29.400001525878906, 43.05000305175781, 82.27999877929688)","(-40.05000305175781, -39.900001525878906, 0.48399999737739563)","(1.350000023841858, 13.65000057220459, 57.59600067138672)","(-52.80000305175781, 14.850000381469727, 27.829999923706055)","(-45.0, 86.4000015258789, 15.003999710083008)"
4,2023-08-02 16:09:40.350110,"(4.200000286102295, 49.95000076293945, 58.805999755859375)","(20.55000114440918, 75.30000305175781, 82.27999877929688)","(9.450000762939453, 45.150001525878906, 64.61399841308594)","(28.05000114440918, 56.400001525878906, 73.08399963378906)","(12.90000057220459, 51.900001525878906, 81.55400085449219)","(29.400001525878906, 40.80000305175781, 82.27999877929688)","(-40.05000305175781, -40.20000076293945, 0.48399999737739563)","(0.9000000357627869, 13.950000762939453, 59.53200149536133)","(-52.20000076293945, 15.000000953674316, 28.07200050354004)","(-43.80000305175781, 87.60000610351562, 12.342000007629395)"
5,2023-08-02 16:09:40.436793,"(4.950000286102295, 49.500003814697266, 59.77399826049805)","(21.900001525878906, 75.60000610351562, 82.52200317382812)","(9.450000762939453, 44.55000305175781, 63.1619987487793)","(28.500001907348633, 56.70000076293945, 74.052001953125)","(14.550000190734863, 50.70000076293945, 81.55400085449219)","(29.55000114440918, 39.60000228881836, 84.94200134277344)","(-39.60000228881836, -39.75, 0.9679999947547913)","(1.350000023841858, 12.90000057220459, 59.04800033569336)","(-51.60000228881836, 14.850000381469727, 28.31399917602539)","(-43.5, 86.70000457763672, 14.03600025177002)"
6,2023-08-02 16:09:40.500288,"(4.800000190734863, 49.05000305175781, 60.257999420166016)","(21.0, 73.5, 82.52200317382812)","(9.600000381469727, 44.25, 64.37200164794922)","(27.750001907348633, 56.55000305175781, 74.052001953125)","(14.550000190734863, 51.000003814697266, 82.52200317382812)","(29.400001525878906, 40.95000076293945, 83.48999786376953)","(-38.70000076293945, -41.25, 1.4520000219345093)","(2.5500001907348633, 12.90000057220459, 59.77399826049805)","(-51.750003814697266, 13.950000762939453, 29.52400016784668)","(-43.20000076293945, 86.55000305175781, 13.552000045776367)"
7,2023-08-02 16:09:40.560758,"(4.350000381469727, 48.750003814697266, 60.01599884033203)","(21.600000381469727, 73.95000457763672, 83.48999786376953)","(9.600000381469727, 43.95000076293945, 64.61399841308594)","(28.80000114440918, 56.10000228881836, 74.052001953125)","(14.40000057220459, 50.400001525878906, 83.24800109863281)","(29.850000381469727, 41.25, 86.39399719238281)","(-38.55000305175781, -40.5, 0.7260000109672546)","(2.1000001430511475, 12.15000057220459, 60.257999420166016)","(-51.750003814697266, 14.100000381469727, 29.52400016784668)","(-43.5, 85.80000305175781, 15.972000122070312)"
8,2023-08-02 16:09:40.619804,"(5.25, 49.05000305175781, 60.98400115966797)","(22.200000762939453, 75.0, 83.24800109863281)","(10.200000762939453, 44.25, 65.58200073242188)","(27.900001525878906, 56.10000228881836, 75.26200103759766)","(15.000000953674316, 49.95000076293945, 83.48999786376953)","(30.600000381469727, 39.60000228881836, 85.18399810791016)","(-39.30000305175781, -40.95000076293945, 1.4520000219345093)","(2.700000047683716, 12.300000190734863, 59.77399826049805)","(-51.30000305175781, 14.250000953674316, 29.766000747680664)","(-42.75, 85.6500015258789, 15.003999710083008)"
9,2023-08-02 16:09:40.679705,"(5.400000095367432, 48.900001525878906, 61.95199966430664)","(22.650001525878906, 74.85000610351562, 83.48999786376953)","(10.350000381469727, 43.80000305175781, 67.03399658203125)","(28.05000114440918, 55.80000305175781, 75.50399780273438)","(14.850000381469727, 51.150001525878906, 83.00599670410156)","(30.150001525878906, 42.75, 87.12000274658203)","(-39.150001525878906, -40.80000305175781, 1.4520000219345093)","(2.5500001907348633, 12.600000381469727, 60.742000579833984)","(-51.000003814697266, 13.65000057220459, 29.281999588012695)","(-42.60000228881836, 85.95000457763672, 15.729999542236328)"
