,Time Stamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Sensor 9,Sensor 10
0,2023-08-02 16:09:06.180660,"(3.6000001430511475, 43.650001525878906, 59.290000915527344)","(20.400001525878906, 70.80000305175781, 81.7959976196289)","(9.0, 39.150001525878906, 63.88800048828125)","(27.30000114440918, 52.500003814697266, 73.80999755859375)","(13.200000762939453, 46.650001525878906, 82.27999877929688)","(28.05000114440918, 35.55000305175781, 85.4260025024414)","(-40.20000076293945, -46.5, 0.0)","(1.350000023841858, 7.200000286102295, 58.07999801635742)","(-52.650001525878906, 8.700000762939453, 28.31399917602539)","(-44.400001525878906, 80.10000610351562, 13.309999465942383)"
1,2023-08-02 16:09:06.240500,"(2.700000047683716, 43.35000228881836, 59.04800033569336)","(20.400001525878906, 70.05000305175781, 82.76399993896484)","(9.600000381469727, 39.60000228881836, 63.1619987487793)","(27.30000114440918, 52.20000076293945, 73.56800079345703)","(14.250000953674316, 46.35000228881836, 81.7959976196289)","(27.000001907348633, 35.55000305175781, 84.94200134277344)","(-39.45000076293945, -45.75, 0.9679999947547913)","(1.0500000715255737, 6.750000476837158, 58.56399917602539)","(-52.35000228881836, 8.25, 28.31399917602539)","(-44.25, 79.6500015258789, 12.342000007629395)"
2,2023-08-02 16:09:06.300340,"(3.450000047683716, 43.5, 60.742000579833984)","(20.850000381469727, 69.60000610351562, 81.55400085449219)","(8.850000381469727, 39.900001525878906, 63.88800048828125)","(27.30000114440918, 52.05000305175781, 73.56800079345703)","(13.950000762939453, 46.35000228881836, 81.55400085449219)","(29.100000381469727, 38.10000228881836, 86.39399719238281)","(-40.35000228881836, -45.60000228881836, 0.7260000109672546)","(1.350000023841858, 6.750000476837158, 58.07999801635742)","(-51.750003814697266, 9.75, 28.555999755859375)","(-43.5, 79.5, 15.003999710083008)"
3,2023-08-02 16:09:06.330260,"(3.6000001430511475, 43.5, 59.77399826049805)","(20.100000381469727, 70.95000457763672, 83.00599670410156)","(9.450000762939453, 39.45000076293945, 64.12999725341797)","(27.450000762939453, 52.35000228881836, 74.53600311279297)","(13.65000057220459, 46.20000076293945, 82.76399993896484)","(29.850000381469727, 35.400001525878906, 82.27999877929688)","(-40.20000076293945, -45.30000305175781, 0.7260000109672546)","(1.5, 7.500000476837158, 59.04800033569336)","(-52.20000076293945, 8.25, 28.31399917602539)","(-44.85000228881836, 80.25, 13.552000045776367)"
4,2023-08-02 16:09:06.389967,"(4.050000190734863, 43.5, 59.04800033569336)","(20.55000114440918, 71.55000305175781, 84.45800018310547)","(9.0, 39.45000076293945, 64.12999725341797)","(27.900001525878906, 52.500003814697266, 74.29399871826172)","(14.550000190734863, 46.650001525878906, 82.03800201416016)","(27.30000114440918, 36.150001525878906, 88.08799743652344)","(-40.05000305175781, -45.60000228881836, 0.7260000109672546)","(1.6500000953674316, 7.950000286102295, 60.257999420166016)","(-52.05000305175781, 9.75, 28.555999755859375)","(-44.400001525878906, 80.55000305175781, 13.309999465942383)"
5,2023-08-02 16:09:06.449812,"(3.1500000953674316, 45.900001525878906, 58.321998596191406)","(20.400001525878906, 71.85000610351562, 83.48999786376953)","(9.300000190734863, 40.5, 64.85600280761719)","(26.55000114440918, 52.80000305175781, 74.052001953125)","(13.350000381469727, 47.400001525878906, 82.03800201416016)","(30.30000114440918, 37.05000305175781, 82.76399993896484)","(-40.20000076293945, -45.0, 0.7260000109672546)","(0.75, 7.200000286102295, 58.07999801635742)","(-52.500003814697266, 9.75, 27.58799934387207)","(-43.80000305175781, 80.85000610351562, 13.067999839782715)"
6,2023-08-02 16:09:06.510032,"(3.3000001907348633, 44.85000228881836, 58.07999801635742)","(19.80000114440918, 72.0, 82.76399993896484)","(9.0, 40.650001525878906, 64.12999725341797)","(27.600000381469727, 53.55000305175781, 73.08399963378906)","(13.950000762939453, 47.400001525878906, 81.55400085449219)","(27.900001525878906, 37.05000305175781, 85.4260025024414)","(-39.45000076293945, -43.650001525878906, 1.2100000381469727)","(1.0500000715255737, 7.650000095367432, 58.56399917602539)","(-52.35000228881836, 10.5, 28.555999755859375)","(-43.80000305175781, 81.1500015258789, 13.552000045776367)"
7,2023-08-02 16:09:06.569964,"(3.9000000953674316, 45.150001525878906, 58.56399917602539)","(20.100000381469727, 71.55000305175781, 84.21599578857422)","(9.0, 40.95000076293945, 64.12999725341797)","(27.30000114440918, 53.70000076293945, 74.77799987792969)","(13.500000953674316, 48.45000076293945, 81.55400085449219)","(27.450000762939453, 36.45000076293945, 83.9739990234375)","(-40.20000076293945, -44.85000228881836, 0.7260000109672546)","(1.6500000953674316, 9.450000762939453, 58.07999801635742)","(-53.10000228881836, 10.800000190734863, 28.31399917602539)","(-44.85000228881836, 82.5, 13.309999465942383)"
8,2023-08-02 16:09:06.690793,"(3.750000238418579, 45.75, 59.04800033569336)","(19.650001525878906, 71.4000015258789, 83.24800109863281)","(9.0, 41.25, 65.0979995727539)","(27.900001525878906, 53.85000228881836, 74.052001953125)","(14.250000953674316, 47.55000305175781, 81.55400085449219)","(31.80000114440918, 37.650001525878906, 85.90999603271484)","(-40.35000228881836, -44.10000228881836, 0.24199999868869781)","(1.6500000953674316, 9.300000190734863, 59.53200149536133)","(-52.500003814697266, 10.800000190734863, 27.829999923706055)","(-43.80000305175781, 82.35000610351562, 14.277999877929688)"
9,2023-08-02 16:09:06.720213,"(3.750000238418579, 45.30000305175781, 58.56399917602539)","(20.850000381469727, 72.30000305175781, 82.03800201416016)","(9.0, 41.55000305175781, 64.37200164794922)","(27.600000381469727, 53.70000076293945, 74.052001953125)","(14.100000381469727, 47.70000076293945, 82.27999877929688)","(30.600000381469727, 38.25, 84.94200134277344)","(-40.05000305175781, -43.80000305175781, 0.48399999737739563)","(1.2000000476837158, 7.800000190734863, 59.53200149536133)","(-52.650001525878906, 10.5, 27.829999923706055)","(-44.25, 81.45000457763672, 12.826000213623047)"
